WKT,id
"POLYGON ((4.62104921851588 52.3863255650223,4.62931211808371 52.383634960312,4.63004306243625 52.3832786460584,4.63133595110395 52.3826549101964,4.63204591467612 52.3825914989776,4.63178457092914 52.3818895150858,4.63274135843099 52.379867831843,4.63348391060687 52.3793917462939,4.63202033778597 52.3780758582993,4.63093000374364 52.3759104570808,4.62855006362466 52.3697700577385,4.62632766391221 52.3699125826598,4.62358131028445 52.3707311014562,4.62336149448707 52.3706042530879,4.61853692794022 52.3711165573339,4.61797235340953 52.381021877621,4.6194354346106 52.3838274182795,4.62001633845891 52.3838207309164,4.62104921851588 52.3863255650223))",4
"POLYGON ((4.62854902927966 52.369770691095,4.63091779328531 52.3759088605701,4.63201038046721 52.3780760309849,4.63347657503096 52.3793906831926,4.63445238069931 52.3787858519396,4.63507311202431 52.3784282884128,4.6358729722951 52.378028904734,4.6365860989631 52.3777833968061,4.63712652971305 52.3778015294485,4.63848237460738 52.3779204189376,4.63909094696557 52.3774609730188,4.63978398276408 52.37697999565,4.64061820958713 52.3766763971369,4.64182747703036 52.3762207235384,4.64274079931275 52.3754984384149,4.64308073671014 52.374573989778,4.64278330109769 52.3736823034082,4.64193509791084 52.3726768423934,4.64037649807766 52.3715860031952,4.63669538441908 52.3702610902452,4.6357667830375 52.3690491653936,4.63520796427555 52.3694133104076,4.63203970357976 52.369915267407,4.62854902927966 52.369770691095))",3
"POLYGON ((4.63347419713038 52.3793980219103,4.63274289597318 52.3798704456679,4.63274733928848 52.3798741509078,4.63177594986254 52.3818737209846,4.63203404103633 52.3825960447757,4.63131699479123 52.3826486453477,4.6293047123378 52.3836393997857,4.62105435340603 52.3863348085141,4.62057245019743 52.3864015512179,4.62115324484132 52.3875672186488,4.61962698984448 52.3910283527667,4.63169885970484 52.3883372612643,4.63171999415482 52.3878024040021,4.63150051644119 52.3876337036283,4.63063963013962 52.387370822045,4.63058591070963 52.3869972711669,4.63068496877823 52.3868269271382,4.63120348851079 52.386374300191,4.63141874483728 52.386085197329,4.63130597770714 52.3852976158965,4.63175800737731 52.3852130067182,4.63405274110787 52.385020903024,4.63599618945086 52.38485314015,4.63858370447436 52.3846182168303,4.63784885053431 52.3823443483486,4.63740139203325 52.3814443462383,4.63590295923442 52.3815782480954,4.63563563734668 52.3812198898721,4.63509200229602 52.3803698257953,4.63347419713038 52.3793980219103))",5
"POLYGON ((4.61957162642489 52.3910151246762,4.6247716809479 52.3961743441293,4.64219286724544 52.3965793662002,4.64096465828095 52.3938433645275,4.64030482663706 52.393052345348,4.64041076777056 52.3924720608906,4.64499740564414 52.3915228358625,4.64664816432224 52.3912831399536,4.65024813893427 52.3909231981648,4.64970271421588 52.3883055169797,4.6504437545215 52.387832130815,4.64788720186812 52.3861799694641,4.64626451062879 52.3854712128471,4.6431094949092 52.3844071841437,4.64198101804855 52.3843339029371,4.63858370447436 52.3846182168303,4.6317234802904 52.3852175495203,4.63130751119018 52.3852957872236,4.63141724267006 52.3860851877414,4.63120492799215 52.3863779863041,4.63068493740845 52.3868287653992,4.6305768975223 52.3869972135773,4.63063966151178 52.3873689837842,4.63150120487771 52.3876373849437,4.63171770948874 52.3878042278874,4.63169360185218 52.3883372277195,4.61957162642489 52.3910151246762))",6
"POLYGON ((4.63847333221342 52.3779222002195,4.6371272029212 52.3778061298725,4.63658680323166 52.3777861589666,4.63587076617185 52.3780261330389,4.63445238069931 52.3787858519396,4.63346673429575 52.3793952167073,4.63508075307745 52.3803688351075,4.63590522783229 52.3815773432586,4.63739461743761 52.3814452225696,4.6378488660686 52.382343429216,4.63858370447436 52.3846182168303,4.64197637266956 52.3843421467729,4.64197473792644 52.3837244137774,4.64209947738668 52.3834531066025,4.64304771946686 52.3828965007294,4.64496405272198 52.3818495753339,4.64489511851099 52.3813012818733,4.64378669383083 52.3806637355993,4.64190613135393 52.3802989287486,4.63971876605113 52.3799578938803,4.63857620211976 52.3796583597871,4.63806574228474 52.3792874386334,4.637992069808 52.3786692488946,4.63847333221342 52.3779222002195))",2
"POLYGON ((4.63575700712215 52.3690500225741,4.6366856704656 52.3702582709631,4.64035915138774 52.3715904899293,4.64192820118125 52.3726850720693,4.64278259650683 52.3736795412817,4.64308603920838 52.3745712654092,4.64272786418297 52.3755084686282,4.64183274890495 52.376219837496,4.63979219652521 52.3769828051964,4.63908720777907 52.3774600301607,4.63847244159295 52.3779304676726,4.63798523352903 52.3786738017942,4.63805878168926 52.3792993446023,4.63858751330894 52.3796556736098,4.63971790660898 52.3799643230729,4.64377685386249 52.3806682699714,4.64488975376509 52.3813076828541,4.64495887255913 52.3818449467101,4.64208976020078 52.3834502877653,4.64196495889084 52.3837252714622,4.64197885757971 52.3843283739593,4.64310126413699 52.3844052939619,4.64787756035527 52.3861725554338,4.65043999894224 52.3878321074492,4.65096918679178 52.3874493226241,4.65215236067151 52.387853779526,4.65294905199548 52.3880094755287,4.65347663824264 52.3877222694273,4.6539889311148 52.3810922855943,4.65245859297607 52.3809798455843,4.65422227258863 52.3786081326682,4.65441017835437 52.3755997354863,4.65351634311859 52.3762450152,4.65188011400856 52.3760068952445,4.65174194264265 52.3752816830804,4.65184979606008 52.3749367221545,4.65175752230344 52.3747045027794,4.65178435541621 52.3745355309393,4.65203769081999 52.374474596577,4.65231931857039 52.374156452584,4.65236618066033 52.373866266412,4.65224374951819 52.3736412140331,4.65236531457613 52.3731933837722,4.65231164185972 52.3728069734598,4.6522896491517 52.3723214827513,4.65216827875718 52.3713077360825,4.65228294199769 52.368738275563,4.65080606604431 52.3688688212343,4.64963979358857 52.3689240685523,4.64924889062374 52.3689510479018,4.64469813577338 52.3687093308289,4.64466580157074 52.3692055137231,4.64384084641506 52.3691451825166,4.64371886987457 52.3692547244685,4.63813250271401 52.3688885845894,4.63634090009711 52.3686235261375,4.63575700712215 52.3690500225741))",1
