"naam","uri_naam","uri_amco","amco","cbs_code","geonames","startjaar","eindjaar","provincie","regio"
"Middelstum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Middelstum","http://www.gemeentegeschiedenis.nl/amco/11199",11199,"27",0,"oudsher","1990","Groningen","noord"
"Midwolda","http://www.gemeentegeschiedenis.nl/gemeentenaam/Midwolda","http://www.gemeentegeschiedenis.nl/amco/10356",10356,"28",0,"oudsher","1990","Groningen","noord"
"Muntendam","http://www.gemeentegeschiedenis.nl/gemeentenaam/Muntendam","http://www.gemeentegeschiedenis.nl/amco/10550",10550,"29",0,"oudsher","1990","Groningen","noord"
"Nieuwe Pekela","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuwe_Pekela","http://www.gemeentegeschiedenis.nl/amco/10950",10950,"30",0,"oudsher","1990","Groningen","noord"
"Nieuweschans","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuweschans","http://www.gemeentegeschiedenis.nl/amco/10008",10008,"31",0,"oudsher","1990","Groningen","noord"
"Nieuwolda","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuwolda","http://www.gemeentegeschiedenis.nl/amco/10126",10126,"32",0,"oudsher","1990","Groningen","noord"
"Noordbroek","http://www.gemeentegeschiedenis.nl/gemeentenaam/Noordbroek","http://www.gemeentegeschiedenis.nl/amco/10814",10814,"1126",0,"oudsher","1965","Groningen","noord"
"Noorddijk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Noorddijk","http://www.gemeentegeschiedenis.nl/amco/10979",10979,"1127",0,"oudsher","1969","Groningen","noord"
"Oldambt","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oldambt","http://www.gemeentegeschiedenis.nl/amco/10453",10453,"1895",7535498,"2010","heden","Groningen","noord"
"Oldehove","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oldehove","http://www.gemeentegeschiedenis.nl/amco/10298",10298,"35",0,"oudsher","1990","Groningen","noord"
"Oldekerk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oldekerk","http://www.gemeentegeschiedenis.nl/amco/11332",11332,"36",0,"oudsher","1990","Groningen","noord"
"Onstwedde","http://www.gemeentegeschiedenis.nl/gemeentenaam/Onstwedde","http://www.gemeentegeschiedenis.nl/amco/10610",10610,"1250",0,"oudsher","1969","Groningen","noord"
"Oosterbroek","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oosterbroek","http://www.gemeentegeschiedenis.nl/amco/11282",11282,"33",0,"1965","1991","Groningen","noord"
"Oude Pekela","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oude_Pekela","http://www.gemeentegeschiedenis.nl/amco/10848",10848,"38",0,"oudsher","1990","Groningen","noord"
"Pekela","http://www.gemeentegeschiedenis.nl/gemeentenaam/Pekela","http://www.gemeentegeschiedenis.nl/amco/10848",10848,"765",6544234,"1990","heden","Groningen","noord"
"Reiderland","http://www.gemeentegeschiedenis.nl/gemeentenaam/Reiderland","http://www.gemeentegeschiedenis.nl/amco/11043",11043,"1661",0,"1991","2010","Groningen","noord"
"Sappemeer","http://www.gemeentegeschiedenis.nl/gemeentenaam/Sappemeer","http://www.gemeentegeschiedenis.nl/amco/10080",10080,"1168",0,"oudsher","1949","Groningen","noord"
"Scheemda","http://www.gemeentegeschiedenis.nl/gemeentenaam/Scheemda","http://www.gemeentegeschiedenis.nl/amco/10711",10711,"39",0,"oudsher","2010","Groningen","noord"
"Siddeburen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Siddeburen","http://www.gemeentegeschiedenis.nl/amco/11323",11323,NA,0,"oudsher","1826","Groningen","noord"
"Slochteren","http://www.gemeentegeschiedenis.nl/gemeentenaam/Slochteren","http://www.gemeentegeschiedenis.nl/amco/10747",10747,"40",2747142,"oudsher","heden","Groningen","noord"
"Stadskanaal","http://www.gemeentegeschiedenis.nl/gemeentenaam/Stadskanaal","http://www.gemeentegeschiedenis.nl/amco/10610",10610,"37",2746859,"1969","heden","Groningen","noord"
"Stedum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Stedum","http://www.gemeentegeschiedenis.nl/amco/10771",10771,"41",0,"oudsher","1990","Groningen","noord"
"Termunten","http://www.gemeentegeschiedenis.nl/gemeentenaam/Termunten","http://www.gemeentegeschiedenis.nl/amco/11023",11023,"42",0,"oudsher","1990","Groningen","noord"
"Uithuizen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Uithuizen","http://www.gemeentegeschiedenis.nl/amco/11137",11137,"43",0,"oudsher","1979","Groningen","noord"
"Uithuizermeeden","http://www.gemeentegeschiedenis.nl/gemeentenaam/Uithuizermeeden","http://www.gemeentegeschiedenis.nl/amco/10246",10246,"44",0,"oudsher","1979","Groningen","noord"
"Ulrum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ulrum","http://www.gemeentegeschiedenis.nl/amco/10180",10180,"45",0,"oudsher","1992","Groningen","noord"
"Usquert","http://www.gemeentegeschiedenis.nl/gemeentenaam/Usquert","http://www.gemeentegeschiedenis.nl/amco/11035",11035,"46",0,"oudsher","1990","Groningen","noord"
"Veendam","http://www.gemeentegeschiedenis.nl/gemeentenaam/Veendam","http://www.gemeentegeschiedenis.nl/amco/11292",11292,"47",2745782,"oudsher","heden","Groningen","noord"
"Vlagtwedde","http://www.gemeentegeschiedenis.nl/gemeentenaam/Vlagtwedde","http://www.gemeentegeschiedenis.nl/amco/11249",11249,"48",2745460,"oudsher","heden","Groningen","noord"
"Warffum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Warffum","http://www.gemeentegeschiedenis.nl/amco/10498",10498,"49",0,"oudsher","1990","Groningen","noord"
"Wedde","http://www.gemeentegeschiedenis.nl/gemeentenaam/Wedde","http://www.gemeentegeschiedenis.nl/amco/10247",10247,"1220",0,"oudsher","1968","Groningen","noord"
"Westerlee","http://www.gemeentegeschiedenis.nl/gemeentenaam/Westerlee","http://www.gemeentegeschiedenis.nl/amco/11378",11378,NA,0,"oudsher","1821","Groningen","noord"
"Wildervank","http://www.gemeentegeschiedenis.nl/gemeentenaam/Wildervank","http://www.gemeentegeschiedenis.nl/amco/10825",10825,"1225",0,"oudsher","1969","Groningen","noord"
"Windeweer","http://www.gemeentegeschiedenis.nl/gemeentenaam/Windeweer","http://www.gemeentegeschiedenis.nl/amco/10803",10803,NA,0,"oudsher","1821","Groningen","noord"
"Winschoten","http://www.gemeentegeschiedenis.nl/gemeentenaam/Winschoten","http://www.gemeentegeschiedenis.nl/amco/10453",10453,"52",0,"oudsher","2010","Groningen","noord"
"Winsum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Winsum","http://www.gemeentegeschiedenis.nl/amco/11135",11135,"53",2744336,"oudsher","heden","Groningen","noord"
"'t Zandt","http://www.gemeentegeschiedenis.nl/gemeentenaam/t_Zandt","http://www.gemeentegeschiedenis.nl/amco/10956",10956,"54",0,"oudsher","1990","Groningen","noord"
"Zuidbroek [Gr]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Zuidbroek_Gr","http://www.gemeentegeschiedenis.nl/amco/11282",11282,"1240",0,"oudsher","1965","Groningen","noord"
"Zuidhorn","http://www.gemeentegeschiedenis.nl/gemeentenaam/Zuidhorn","http://www.gemeentegeschiedenis.nl/amco/10021",10021,"56",2743693,"oudsher","heden","Groningen","noord"
"Achtkarspelen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Achtkarspelen","http://www.gemeentegeschiedenis.nl/amco/10199",10199,"59",2759982,"1816","heden","Friesland","noord"
"Ængwirden","http://www.gemeentegeschiedenis.nl/gemeentenaam/Aengwirden","http://www.gemeentegeschiedenis.nl/amco/10157",10157,"1006",0,"1816","1934","Friesland","noord"
"Akkrum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Akkrum","http://www.gemeentegeschiedenis.nl/amco/10140",10140,NA,0,"oudsher","1816","Friesland","noord"
"Almenum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Almenum","http://www.gemeentegeschiedenis.nl/amco/10001",10001,NA,0,"oudsher","1816","Friesland","noord"
"Ameland","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ameland","http://www.gemeentegeschiedenis.nl/amco/11153",11153,"60",2759844,"oudsher","heden","Friesland","noord"
"Anjum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Anjum","http://www.gemeentegeschiedenis.nl/amco/10158",10158,NA,0,"oudsher","1816","Friesland","noord"
"Arum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Arum","http://www.gemeentegeschiedenis.nl/amco/11440",11440,NA,0,"oudsher","1816","Friesland","noord"
"Augustinusga","http://www.gemeentegeschiedenis.nl/gemeentenaam/Augustinusga","http://www.gemeentegeschiedenis.nl/amco/11060",11060,NA,0,"oudsher","1816","Friesland","noord"
"Baarderadeel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Baarderadeel","http://www.gemeentegeschiedenis.nl/amco/10422",10422,"61",0,"1816","1984","Friesland","noord"
"Balk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Balk","http://www.gemeentegeschiedenis.nl/amco/10036",10036,NA,0,"oudsher","1816","Friesland","noord"
"Barradeel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Barradeel","http://www.gemeentegeschiedenis.nl/amco/10156",10156,"62",0,"1816","1984","Friesland","noord"
"Beetsterzwaag","http://www.gemeentegeschiedenis.nl/gemeentenaam/Beetsterzwaag","http://www.gemeentegeschiedenis.nl/amco/10987",10987,NA,0,"oudsher","1816","Friesland","noord"
"Bergum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bergum","http://www.gemeentegeschiedenis.nl/amco/11241",11241,NA,0,"oudsher","1816","Friesland","noord"
"Berlikum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Berlikum","http://www.gemeentegeschiedenis.nl/amco/11117",11117,NA,0,"oudsher","1816","Friesland","noord"
