"naam","uri_naam","uri_amco","amco","cbs_code","geonames","startjaar","eindjaar","provincie","regio"
"Horssen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Horssen","http://www.gemeentegeschiedenis.nl/amco/10607",10607,"254",0,"oudsher","1984","Gelderland","oost"
"Huissen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Huissen","http://www.gemeentegeschiedenis.nl/amco/11047",11047,"255",0,"oudsher","2001","Gelderland","oost"
"Hummelo","http://www.gemeentegeschiedenis.nl/gemeentenaam/Hummelo","http://www.gemeentegeschiedenis.nl/amco/11235",11235,NA,0,"oudsher","1818","Gelderland","oost"
"Hummelo en Keppel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Hummelo_en_Keppel","http://www.gemeentegeschiedenis.nl/amco/11235",11235,"256",0,"1818","2005","Gelderland","oost"
"Hurwenen [1]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Hurwenen_1","http://www.gemeentegeschiedenis.nl/amco/11432",11432,NA,0,"oudsher","1818","Gelderland","oost"
"Hurwenen [2]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Hurwenen_2","http://www.gemeentegeschiedenis.nl/amco/11432",11432,"1089",0,"1821","1955","Gelderland","oost"
"IJzendoorn","http://www.gemeentegeschiedenis.nl/gemeentenaam/IJzendoorn","http://www.gemeentegeschiedenis.nl/amco/11430",11430,"1231",0,"1818","1923","Gelderland","oost"
"Keppel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Keppel","http://www.gemeentegeschiedenis.nl/amco/10488",10488,NA,0,"oudsher","1818","Gelderland","oost"
"Kerkwijk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Kerkwijk","http://www.gemeentegeschiedenis.nl/amco/10791",10791,"257",0,"1818","1999","Gelderland","oost"
"Kesteren","http://www.gemeentegeschiedenis.nl/gemeentenaam/Kesteren","http://www.gemeentegeschiedenis.nl/amco/10916",10916,"258",0,"1818","2003","Gelderland","oost"
"Laren [Ge]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Laren_Ge","http://www.gemeentegeschiedenis.nl/amco/10098",10098,"259",0,"oudsher","1971","Gelderland","oost"
"Lede- en Oudewaard","http://www.gemeentegeschiedenis.nl/gemeentenaam/Lede-_en_Oudewaard","http://www.gemeentegeschiedenis.nl/amco/10231",10231,NA,0,"1818","1822","Gelderland","oost"
"Leeuwen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Leeuwen","http://www.gemeentegeschiedenis.nl/amco/10548",10548,NA,0,"oudsher","1818","Gelderland","oost"
"Lent","http://www.gemeentegeschiedenis.nl/gemeentenaam/Lent","http://www.gemeentegeschiedenis.nl/amco/10143",10143,NA,0,"oudsher","1818","Gelderland","oost"
"Leuth","http://www.gemeentegeschiedenis.nl/gemeentenaam/Leuth","http://www.gemeentegeschiedenis.nl/amco/10556",10556,NA,0,"oudsher","1814","Gelderland","oost"
"Lichtenvoorde","http://www.gemeentegeschiedenis.nl/gemeentenaam/Lichtenvoorde","http://www.gemeentegeschiedenis.nl/amco/10242",10242,"260",0,"oudsher","2005","Gelderland","oost"
"Lienden","http://www.gemeentegeschiedenis.nl/gemeentenaam/Lienden","http://www.gemeentegeschiedenis.nl/amco/11093",11093,"261",0,"oudsher","1999","Gelderland","oost"
"Lingewaal","http://www.gemeentegeschiedenis.nl/gemeentenaam/Lingewaal","http://www.gemeentegeschiedenis.nl/amco/11376",11376,"733",6544243,"1987","heden","Gelderland","oost"
"Lingewaard","http://www.gemeentegeschiedenis.nl/gemeentenaam/Lingewaard","http://www.gemeentegeschiedenis.nl/amco/10744",10744,"1705",6544236,"2003","heden","Gelderland","oost"
"Lobith","http://www.gemeentegeschiedenis.nl/gemeentenaam/Lobith","http://www.gemeentegeschiedenis.nl/amco/10719",10719,NA,0,"1817","1818","Gelderland","oost"
"Lochem","http://www.gemeentegeschiedenis.nl/gemeentenaam/Lochem","http://www.gemeentegeschiedenis.nl/amco/11263",11263,"262",2751536,"oudsher","heden","Gelderland","oost"
"Loenen en Wolferen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Loenen_en_Wolferen","http://www.gemeentegeschiedenis.nl/amco/10423",10423,"1341",0,"1818","1854","Gelderland","oost"
"Loenen [Ge]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Loenen_Ge","http://www.gemeentegeschiedenis.nl/amco/10234",10234,NA,0,"oudsher","1818","Gelderland","oost"
"Lunteren","http://www.gemeentegeschiedenis.nl/gemeentenaam/Lunteren","http://www.gemeentegeschiedenis.nl/amco/10653",10653,NA,0,"oudsher","1818","Gelderland","oost"
"Maasbommel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Maasbommel","http://www.gemeentegeschiedenis.nl/amco/10692",10692,NA,0,"oudsher","1818","Gelderland","oost"
"Maasdriel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Maasdriel","http://www.gemeentegeschiedenis.nl/amco/10341",10341,"263",2751295,"1944","heden","Gelderland","oost"
"Maurik","http://www.gemeentegeschiedenis.nl/gemeentenaam/Maurik","http://www.gemeentegeschiedenis.nl/amco/10300",10300,"264",0,"oudsher","1999","Gelderland","oost"
"Millingen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Millingen","http://www.gemeentegeschiedenis.nl/amco/10072",10072,"1259",0,"oudsher","1954","Gelderland","oost"
"Millingen aan de Rijn","http://www.gemeentegeschiedenis.nl/gemeentenaam/Millingen_aan_de_Rijn","http://www.gemeentegeschiedenis.nl/amco/10072",10072,"265",2750796,"1954","heden","Gelderland","oost"
"Montferland","http://www.gemeentegeschiedenis.nl/gemeentenaam/Montferland","http://www.gemeentegeschiedenis.nl/amco/10350",10350,"1955",6544256,"2005","heden","Gelderland","oost"
"Neder-Betuwe","http://www.gemeentegeschiedenis.nl/gemeentenaam/Neder-Betuwe","http://www.gemeentegeschiedenis.nl/amco/10916",10916,"1740",6544269,"2003","heden","Gelderland","oost"
"Nederhemert","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nederhemert","http://www.gemeentegeschiedenis.nl/amco/10310",10310,"1115",0,"oudsher","1955","Gelderland","oost"
"Neede","http://www.gemeentegeschiedenis.nl/gemeentenaam/Neede","http://www.gemeentegeschiedenis.nl/amco/10367",10367,"266",0,"oudsher","2005","Gelderland","oost"
"Neerijnen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Neerijnen","http://www.gemeentegeschiedenis.nl/amco/10125",10125,"304",6544294,"1978","heden","Gelderland","oost"
"Netterden","http://www.gemeentegeschiedenis.nl/gemeentenaam/Netterden","http://www.gemeentegeschiedenis.nl/amco/10315",10315,NA,0,"oudsher","1821","Gelderland","oost"
"Niftrik","http://www.gemeentegeschiedenis.nl/gemeentenaam/Niftrik","http://www.gemeentegeschiedenis.nl/amco/10025",10025,NA,0,"oudsher","1818","Gelderland","oost"
"Nijbroek","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nijbroek","http://www.gemeentegeschiedenis.nl/amco/10463",10463,NA,0,"oudsher","1818","Gelderland","oost"
"Nijkerk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nijkerk","http://www.gemeentegeschiedenis.nl/amco/10446",10446,"267",2750064,"oudsher","heden","Gelderland","oost"
"Nijmegen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nijmegen","http://www.gemeentegeschiedenis.nl/amco/11209",11209,"268",2750052,"oudsher","heden","Gelderland","oost"
"Nunspeet [1]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nunspeet_1","http://www.gemeentegeschiedenis.nl/amco/10512",10512,NA,0,"oudsher","1818","Gelderland","oost"
"Nunspeet [2]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nunspeet_2","http://www.gemeentegeschiedenis.nl/amco/10512",10512,"302",2749754,"1972","heden","Gelderland","oost"
"Ochten","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ochten","http://www.gemeentegeschiedenis.nl/amco/10832",10832,NA,0,"oudsher","1818","Gelderland","oost"
"Oldebroek","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oldebroek","http://www.gemeentegeschiedenis.nl/amco/11106",11106,"269",2749667,"oudsher","heden","Gelderland","oost"
"Ooij en Persingen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ooij_en_Persingen","http://www.gemeentegeschiedenis.nl/amco/10810",10810,NA,0,"oudsher","1818","Gelderland","oost"
"Oosterbeek","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oosterbeek","http://www.gemeentegeschiedenis.nl/amco/10336",10336,NA,0,"oudsher","1818","Gelderland","oost"
"Oosterwolde [Ge]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oosterwolde_Ge","http://www.gemeentegeschiedenis.nl/amco/11061",11061,NA,0,"oudsher","1818","Gelderland","oost"
"Oost Gelre","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oost_Gelre","http://www.gemeentegeschiedenis.nl/amco/11094",11094,"1586",6544228,"2006","heden","Gelderland","oost"
"Ophemert","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ophemert","http://www.gemeentegeschiedenis.nl/amco/10829",10829,"270",0,"1818","1978","Gelderland","oost"
"Opijnen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Opijnen","http://www.gemeentegeschiedenis.nl/amco/11092",11092,NA,0,"oudsher","1818","Gelderland","oost"
"Otterlo","http://www.gemeentegeschiedenis.nl/gemeentenaam/Otterlo","http://www.gemeentegeschiedenis.nl/amco/11389",11389,NA,0,"oudsher","1818","Gelderland","oost"
"Oude IJsselstreek","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oude_IJsselstreek","http://www.gemeentegeschiedenis.nl/amco/10260",10260,"1509",6544222,"2005","heden","Gelderland","oost"
"Overasselt","http://www.gemeentegeschiedenis.nl/gemeentenaam/Overasselt","http://www.gemeentegeschiedenis.nl/amco/10952",10952,"271",0,"oudsher","1980","Gelderland","oost"
"Overbetuwe","http://www.gemeentegeschiedenis.nl/gemeentenaam/Overbetuwe","http://www.gemeentegeschiedenis.nl/amco/11188",11188,"1734",6544276,"2001","heden","Gelderland","oost"
"Pannerden","http://www.gemeentegeschiedenis.nl/gemeentenaam/Pannerden","http://www.gemeentegeschiedenis.nl/amco/10518",10518,"272",0,"1818","1985","Gelderland","oost"
"Poederoijen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Poederoijen","http://www.gemeentegeschiedenis.nl/amco/10135",10135,"1155",0,"oudsher","1955","Gelderland","oost"
"Puiflijk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Puiflijk","http://www.gemeentegeschiedenis.nl/amco/11265",11265,NA,0,"oudsher","1818","Gelderland","oost"
"Putten","http://www.gemeentegeschiedenis.nl/gemeentenaam/Putten","http://www.gemeentegeschiedenis.nl/amco/11109",11109,"273",2748391,"oudsher","heden","Gelderland","oost"
"Renkum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Renkum","http://www.gemeentegeschiedenis.nl/amco/11325",11325,"274",2748235,"1818","heden","Gelderland","oost"
"Rheden","http://www.gemeentegeschiedenis.nl/gemeentenaam/Rheden","http://www.gemeentegeschiedenis.nl/amco/11355",11355,"275",2748200,"1818","heden","Gelderland","oost"
"Rijnwaarden","http://www.gemeentegeschiedenis.nl/gemeentenaam/Rijnwaarden","http://www.gemeentegeschiedenis.nl/amco/10819",10819,"196",6544274,"1985","heden","Gelderland","oost"
"Rosendaal [Ge]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Rosendaal_Ge","http://www.gemeentegeschiedenis.nl/amco/10684",10684,"277",NA,"1818","1933","Gelderland","oost"
"Rossum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Rossum","http://www.gemeentegeschiedenis.nl/amco/10860",10860,"276",0,"1818","1999","Gelderland","oost"
"Rozendaal [Ge]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Rozendaal_Ge","http://www.gemeentegeschiedenis.nl/amco/10684",10684,"277",NA,"1933","heden","Gelderland","oost"
"Ruurlo","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ruurlo","http://www.gemeentegeschiedenis.nl/amco/10879",10879,"278",0,"oudsher","2005","Gelderland","oost"
"Scherpenzeel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Scherpenzeel","http://www.gemeentegeschiedenis.nl/amco/11146",11146,"279",2747605,"oudsher","heden","Gelderland","oost"
"Stad Doetinchem","http://www.gemeentegeschiedenis.nl/gemeentenaam/Stad_Doetinchem","http://www.gemeentegeschiedenis.nl/amco/10603",10603,"1190",0,"oudsher","1920","Gelderland","oost"
"Steenderen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Steenderen","http://www.gemeentegeschiedenis.nl/amco/10497",10497,"280",0,"oudsher","2005","Gelderland","oost"
"Terborg","http://www.gemeentegeschiedenis.nl/gemeentenaam/Terborg","http://www.gemeentegeschiedenis.nl/amco/10034",10034,NA,0,"oudsher","1818","Gelderland","oost"
"Tiel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Tiel","http://www.gemeentegeschiedenis.nl/amco/10027",10027,"281",2746330,"oudsher","heden","Gelderland","oost"
"Twello","http://www.gemeentegeschiedenis.nl/gemeentenaam/Twello","http://www.gemeentegeschiedenis.nl/amco/10846",10846,NA,0,"oudsher","1818","Gelderland","oost"
"Ubbergen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ubbergen","http://www.gemeentegeschiedenis.nl/amco/10408",10408,"282",2746011,"1818","heden","Gelderland","oost"
"Vaassen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Vaassen","http://www.gemeentegeschiedenis.nl/amco/11380",11380,NA,0,"oudsher","1818","Gelderland","oost"
"Valburg","http://www.gemeentegeschiedenis.nl/gemeentenaam/Valburg","http://www.gemeentegeschiedenis.nl/amco/11071",11071,"283",0,"1818","2001","Gelderland","oost"
"Varik","http://www.gemeentegeschiedenis.nl/gemeentenaam/Varik","http://www.gemeentegeschiedenis.nl/amco/11064",11064,"284",0,"oudsher","1978","Gelderland","oost"
"Varsseveld","http://www.gemeentegeschiedenis.nl/gemeentenaam/Varsseveld","http://www.gemeentegeschiedenis.nl/amco/10318",10318,NA,0,"oudsher","1818","Gelderland","oost"
"Veessen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Veessen","http://www.gemeentegeschiedenis.nl/amco/10966",10966,NA,0,"oudsher","1818","Gelderland","oost"
"Velp [Ge]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Velp_Ge","http://www.gemeentegeschiedenis.nl/amco/10698",10698,NA,0,"oudsher","1818","Gelderland","oost"
"Verwolde","http://www.gemeentegeschiedenis.nl/gemeentenaam/Verwolde","http://www.gemeentegeschiedenis.nl/amco/10275",10275,"1386",0,"1818","1854","Gelderland","oost"
"Voorst","http://www.gemeentegeschiedenis.nl/gemeentenaam/Voorst","http://www.gemeentegeschiedenis.nl/amco/10912",10912,"285",2745295,"oudsher","heden","Gelderland","oost"
"Voorthuizen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Voorthuizen","http://www.gemeentegeschiedenis.nl/amco/11425",11425,NA,0,"oudsher","1818","Gelderland","oost"
"Vorden","http://www.gemeentegeschiedenis.nl/gemeentenaam/Vorden","http://www.gemeentegeschiedenis.nl/amco/10957",10957,"286",0,"oudsher","2005","Gelderland","oost"
"Vuren","http://www.gemeentegeschiedenis.nl/gemeentenaam/Vuren","http://www.gemeentegeschiedenis.nl/amco/11376",11376,"287",0,"1818","1987","Gelderland","oost"
"Waardenburg","http://www.gemeentegeschiedenis.nl/gemeentenaam/Waardenburg","http://www.gemeentegeschiedenis.nl/amco/10238",10238,"288",0,"oudsher","1978","Gelderland","oost"
"Wadenoijen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Wadenoijen","http://www.gemeentegeschiedenis.nl/amco/10201",10201,"1218",0,"1818","1956","Gelderland","oost"
"Wageningen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Wageningen","http://www.gemeentegeschiedenis.nl/amco/11010",11010,"289",2745087,"oudsher","heden","Gelderland","oost"
"Wamel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Wamel","http://www.gemeentegeschiedenis.nl/amco/10042",10042,"290",0,"oudsher","1985","Gelderland","oost"
"Warnsveld","http://www.gemeentegeschiedenis.nl/gemeentenaam/Warnsveld","http://www.gemeentegeschiedenis.nl/amco/10838",10838,"291",0,"oudsher","2005","Gelderland","oost"
"Wehl","http://www.gemeentegeschiedenis.nl/gemeentenaam/Wehl","http://www.gemeentegeschiedenis.nl/amco/11116",11116,"292",0,"1816","2005","Gelderland","oost"
"Westervoort","http://www.gemeentegeschiedenis.nl/gemeentenaam/Westervoort","http://www.gemeentegeschiedenis.nl/amco/11085",11085,"293",2744674,"oudsher","heden","Gelderland","oost"
"West Maas en Waal","http://www.gemeentegeschiedenis.nl/gemeentenaam/West_Maas_en_Waal","http://www.gemeentegeschiedenis.nl/amco/10042",10042,"668",6544265,"1985","heden","Gelderland","oost"
"Weurt","http://www.gemeentegeschiedenis.nl/gemeentenaam/Weurt","http://www.gemeentegeschiedenis.nl/amco/10939",10939,NA,0,"oudsher","1818","Gelderland","oost"
"Wijchen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Wijchen","http://www.gemeentegeschiedenis.nl/amco/10723",10723,"296",2744513,"oudsher","heden","Gelderland","oost"
"Wilp","http://www.gemeentegeschiedenis.nl/gemeentenaam/Wilp","http://www.gemeentegeschiedenis.nl/amco/11388",11388,NA,0,"oudsher","1818","Gelderland","oost"
"Winssen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Winssen","http://www.gemeentegeschiedenis.nl/amco/11385",11385,NA,0,"oudsher","1818","Gelderland","oost"
"Winterswijk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Winterswijk","http://www.gemeentegeschiedenis.nl/amco/11119",11119,"294",2744331,"oudsher","heden","Gelderland","oost"
"Wisch","http://www.gemeentegeschiedenis.nl/gemeentenaam/Wisch","http://www.gemeentegeschiedenis.nl/amco/10318",10318,"295",0,"1818","2005","Gelderland","oost"
"Zaltbommel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Zaltbommel","http://www.gemeentegeschiedenis.nl/amco/10557",10557,"297",2744101,"oudsher","heden","Gelderland","oost"
"Zeddam","http://www.gemeentegeschiedenis.nl/gemeentenaam/Zeddam","http://www.gemeentegeschiedenis.nl/amco/10003",10003,NA,0,"oudsher","1821","Gelderland","oost"
"Zelhem","http://www.gemeentegeschiedenis.nl/gemeentenaam/Zelhem","http://www.gemeentegeschiedenis.nl/amco/11159",11159,"298",0,"oudsher","2005","Gelderland","oost"
"Zevenaar","http://www.gemeentegeschiedenis.nl/gemeentenaam/Zevenaar","http://www.gemeentegeschiedenis.nl/amco/10938",10938,"299",2743948,"oudsher","heden","Gelderland","oost"
"Zoelen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Zoelen","http://www.gemeentegeschiedenis.nl/amco/10897",10897,"300",0,"oudsher","1978","Gelderland","oost"
"Zuilichem","http://www.gemeentegeschiedenis.nl/gemeentenaam/Zuilichem","http://www.gemeentegeschiedenis.nl/amco/11036",11036,"1243",0,"oudsher","1955","Gelderland","oost"
"Zutphen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Zutphen","http://www.gemeentegeschiedenis.nl/amco/10254",10254,"301",2743607,"oudsher","heden","Gelderland","oost"
"Abcoude [1]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Abcoude_1","http://www.gemeentegeschiedenis.nl/amco/10712",10712,NA,0,"oudsher","1818","Utrecht","west"
"Abcoude [2]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Abcoude_2","http://www.gemeentegeschiedenis.nl/amco/10712",10712,"305",0,"1941","2011","Utrecht","west"
"Abcoude-Baambrugge","http://www.gemeentegeschiedenis.nl/gemeentenaam/Abcoude-Baambrugge","http://www.gemeentegeschiedenis.nl/amco/11184",11184,"1003",0,"1818","1941","Utrecht","west"
"Abcoude-Proostdij","http://www.gemeentegeschiedenis.nl/gemeentenaam/Abcoude-Proostdij","http://www.gemeentegeschiedenis.nl/amco/10712",10712,"1004",0,"1818","1941","Utrecht","west"
"Abstede","http://www.gemeentegeschiedenis.nl/gemeentenaam/Abstede","http://www.gemeentegeschiedenis.nl/amco/11068",11068,NA,0,"1818","1823","Utrecht","west"
"Achthoven","http://www.gemeentegeschiedenis.nl/gemeentenaam/Achthoven","http://www.gemeentegeschiedenis.nl/amco/10141",10141,"1302",0,"1818","1857","Utrecht","west"
"Achttienhoven [Ut]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Achttienhoven_Ut","http://www.gemeentegeschiedenis.nl/amco/10524",10524,"1005",0,"1818","1954","Utrecht","west"
"Amerongen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Amerongen","http://www.gemeentegeschiedenis.nl/amco/11372",11372,"306",0,"oudsher","2006","Utrecht","west"
"Amersfoort","http://www.gemeentegeschiedenis.nl/gemeentenaam/Amersfoort","http://www.gemeentegeschiedenis.nl/amco/10948",10948,"307",2759820,"oudsher","heden","Utrecht","west"
"Baambrugge","http://www.gemeentegeschiedenis.nl/gemeentenaam/Baambrugge","http://www.gemeentegeschiedenis.nl/amco/11184",11184,NA,0,"oudsher","1818","Utrecht","west"
"Baarn","http://www.gemeentegeschiedenis.nl/gemeentenaam/Baarn","http://www.gemeentegeschiedenis.nl/amco/11411",11411,"308",2759543,"oudsher","heden","Utrecht","west"
"Benschop","http://www.gemeentegeschiedenis.nl/gemeentenaam/Benschop","http://www.gemeentegeschiedenis.nl/amco/11330",11330,"309",0,"oudsher","1989","Utrecht","west"
"De Bilt","http://www.gemeentegeschiedenis.nl/gemeentenaam/De_Bilt","http://www.gemeentegeschiedenis.nl/amco/10168",10168,"310",2757782,"oudsher","heden","Utrecht","west"
"Breukelen [1]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Breukelen_1","http://www.gemeentegeschiedenis.nl/amco/10807",10807,NA,0,"oudsher","1818","Utrecht","west"
"Breukelen [2]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Breukelen_2","http://www.gemeentegeschiedenis.nl/amco/10807",10807,"311",0,"1949","heden","Utrecht","west"
"Breukelen-Nijenrode","http://www.gemeentegeschiedenis.nl/gemeentenaam/Breukelen-Nijenrode","http://www.gemeentegeschiedenis.nl/amco/10807",10807,"1028",0,"1818","1949","Utrecht","west"
"Breukelen-Sint Pieters","http://www.gemeentegeschiedenis.nl/gemeentenaam/Breukelen-Sint_Pieters","http://www.gemeentegeschiedenis.nl/amco/11149",11149,"1029",0,"1818","1949","Utrecht","west"
"Bunnik","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bunnik","http://www.gemeentegeschiedenis.nl/amco/10820",10820,"312",2758105,"oudsher","heden","Utrecht","west"
"Bunschoten","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bunschoten","http://www.gemeentegeschiedenis.nl/amco/11343",11343,"313",2758103,"oudsher","heden","Utrecht","west"
"Cabauw","http://www.gemeentegeschiedenis.nl/gemeentenaam/Cabauw","http://www.gemeentegeschiedenis.nl/amco/11275",11275,"1310",0,"1817","1857","Utrecht","west"
"Catharijne","http://www.gemeentegeschiedenis.nl/gemeentenaam/Catharijne","http://www.gemeentegeschiedenis.nl/amco/11063",11063,NA,0,"1818","1823","Utrecht","west"
"Cothen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Cothen","http://www.gemeentegeschiedenis.nl/amco/11316",11316,"314",0,"oudsher","1996","Utrecht","west"
"Darthuizen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Darthuizen","http://www.gemeentegeschiedenis.nl/amco/11168",11168,"1312",0,"1818","1857","Utrecht","west"
"Doorn","http://www.gemeentegeschiedenis.nl/gemeentenaam/Doorn","http://www.gemeentegeschiedenis.nl/amco/10213",10213,"315",0,"oudsher","2006","Utrecht","west"
"Driebergen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Driebergen","http://www.gemeentegeschiedenis.nl/amco/10777",10777,"1048",0,"oudsher","1931","Utrecht","west"
"Driebergen-Rijsenburg","http://www.gemeentegeschiedenis.nl/gemeentenaam/Driebergen-Rijsenburg","http://www.gemeentegeschiedenis.nl/amco/10777",10777,"316",0,"1931","2006","Utrecht","west"
"Duist","http://www.gemeentegeschiedenis.nl/gemeentenaam/Duist","http://www.gemeentegeschiedenis.nl/amco/10070",10070,"1314",0,"1818","1857","Utrecht","west"
"Eemnes","http://www.gemeentegeschiedenis.nl/gemeentenaam/Eemnes","http://www.gemeentegeschiedenis.nl/amco/10248",10248,"317",2756393,"oudsher","heden","Utrecht","west"
"Gerverskop","http://www.gemeentegeschiedenis.nl/gemeentenaam/Gerverskop","http://www.gemeentegeschiedenis.nl/amco/11336",11336,"1318",0,"1818","1857","Utrecht","west"
"'s-Gravesloot","http://www.gemeentegeschiedenis.nl/gemeentenaam/s-Gravesloot","http://www.gemeentegeschiedenis.nl/amco/10882",10882,"1321",0,"1818","1857","Utrecht","west"
"Haarzuilens","http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarzuilens","http://www.gemeentegeschiedenis.nl/amco/10737",10737,"1069",0,"1818","1954","Utrecht","west"
"Harmelen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Harmelen","http://www.gemeentegeschiedenis.nl/amco/10183",10183,"318",0,"oudsher","2001","Utrecht","west"
"Hoenkoop","http://www.gemeentegeschiedenis.nl/gemeentenaam/Hoenkoop","http://www.gemeentegeschiedenis.nl/amco/10611",10611,"319",0,"1818","1970","Utrecht","west"
"Hoogland","http://www.gemeentegeschiedenis.nl/gemeentenaam/Hoogland","http://www.gemeentegeschiedenis.nl/amco/10545",10545,"320",0,"oudsher","1974","Utrecht","west"
"Houten","http://www.gemeentegeschiedenis.nl/gemeentenaam/Houten","http://www.gemeentegeschiedenis.nl/amco/10230",10230,"321",2753556,"oudsher","heden","Utrecht","west"
"IJsselstein","http://www.gemeentegeschiedenis.nl/gemeentenaam/IJsselstein","http://www.gemeentegeschiedenis.nl/amco/10152",10152,"353",2753354,"oudsher","heden","Utrecht","west"
"Indijk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Indijk","http://www.gemeentegeschiedenis.nl/amco/10411",10411,NA,0,"1817","1821","Utrecht","west"
"Jaarsveld","http://www.gemeentegeschiedenis.nl/gemeentenaam/Jaarsveld","http://www.gemeentegeschiedenis.nl/amco/10847",10847,"1091",0,"oudsher","1943","Utrecht","west"
"Jutphaas","http://www.gemeentegeschiedenis.nl/gemeentenaam/Jutphaas","http://www.gemeentegeschiedenis.nl/amco/10374",10374,"322",0,"oudsher","1971","Utrecht","west"
"Kamerik [1]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Kamerik_1","http://www.gemeentegeschiedenis.nl/amco/10554",10554,NA,0,"oudsher","1818","Utrecht","west"
"Kamerik [2]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Kamerik_2","http://www.gemeentegeschiedenis.nl/amco/10554",10554,"323",0,"1857","1989","Utrecht","west"
"Kamerik-Houtdijken","http://www.gemeentegeschiedenis.nl/gemeentenaam/Kamerik-Houtdijken","http://www.gemeentegeschiedenis.nl/amco/10554",10554,"1335",0,"1818","1857","Utrecht","west"
"Kamerik-Mijzijde","http://www.gemeentegeschiedenis.nl/gemeentenaam/Kamerik-Mijzijde","http://www.gemeentegeschiedenis.nl/amco/10555",10555,"1336",0,"1818","1857","Utrecht","west"
"Kockengen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Kockengen","http://www.gemeentegeschiedenis.nl/amco/10765",10765,"324",0,"oudsher","1989","Utrecht","west"
"Laag-Nieuwkoop","http://www.gemeentegeschiedenis.nl/gemeentenaam/Laag-Nieuwkoop","http://www.gemeentegeschiedenis.nl/amco/10305",10305,"1100",0,"1818","1942","Utrecht","west"
