"amco","naam","uri_naam","uri_amco","cbs_code","geonames","startjaar","eindjaar","provincie","regio","gm_naam","cbscode","regio2"
10022,"Joure","http://www.gemeentegeschiedenis.nl/gemeentenaam/Joure","http://www.gemeentegeschiedenis.nl/amco/10022",NA,0,"oudsher","1816","Friesland","noord","Haskerland",73,"noordoost"
10022,"Haskerland","http://www.gemeentegeschiedenis.nl/gemeentenaam/Haskerland","http://www.gemeentegeschiedenis.nl/amco/10022","73",0,"1816","1984","Friesland","noord","Haskerland",73,"noordoost"
10023,"Cuijk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Cuijk","http://www.gemeentegeschiedenis.nl/amco/10023","1684",2757873,"1994","heden","Noord-Brabant","zuid","Cuijk en Sint Agatha",761,"zuidoost"
10023,"Cuijk en Sint Agatha","http://www.gemeentegeschiedenis.nl/gemeentenaam/Cuijk_en_Sint_Agatha","http://www.gemeentegeschiedenis.nl/amco/10023","761",0,"oudsher","1994","Noord-Brabant","zuid","Cuijk en Sint Agatha",761,"zuidoost"
10024,"Lithoijen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Lithoijen","http://www.gemeentegeschiedenis.nl/amco/10024","1104",0,"oudsher","1939","Noord-Brabant","zuid","Lithoijen",1104,"zuidoost"
10025,"Niftrik","http://www.gemeentegeschiedenis.nl/gemeentenaam/Niftrik","http://www.gemeentegeschiedenis.nl/amco/10025",NA,0,"oudsher","1818","Gelderland","oost",NA,NA,NA
10026,"Hoogmade","http://www.gemeentegeschiedenis.nl/gemeentenaam/Hoogmade","http://www.gemeentegeschiedenis.nl/amco/10026","1333",0,"1817","1855","Zuid-Holland","west",NA,NA,NA
10027,"Tiel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Tiel","http://www.gemeentegeschiedenis.nl/amco/10027","281",2746330,"oudsher","heden","Gelderland","oost","Tiel",281,"zuidoost"
10028,"Valkenburg [ZH]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Valkenburg_ZH","http://www.gemeentegeschiedenis.nl/amco/10028","619",0,"1817","2006","Zuid-Holland","west","Valkenburg (ZH.)",619,"zuidwest"
10029,"Koudekerk aan den Rijn","http://www.gemeentegeschiedenis.nl/gemeentenaam/Koudekerk_aan_den_Rijn","http://www.gemeentegeschiedenis.nl/amco/10029","540",NA,"1938","1991","Zuid-Holland","west","Koudekerk",540,"zuidwest"
10029,"Koudekerk [ZH]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Koudekerk_ZH","http://www.gemeentegeschiedenis.nl/amco/10029","540",NA,"oudsher","1938","Zuid-Holland","west","Koudekerk",540,"zuidwest"
10030,"Brouwershaven","http://www.gemeentegeschiedenis.nl/gemeentenaam/Brouwershaven","http://www.gemeentegeschiedenis.nl/amco/10030","656",0,"oudsher","1997","Zeeland","west","Brouwershaven",656,"zuidwest"
10031,"Pijnacker","http://www.gemeentegeschiedenis.nl/gemeentenaam/Pijnacker","http://www.gemeentegeschiedenis.nl/amco/10031","594",0,"oudsher","2002","Zuid-Holland","west","Pijnacker",594,"zuidwest"
10031,"Pijnacker-Nootdorp","http://www.gemeentegeschiedenis.nl/gemeentenaam/Pijnacker-Nootdorp","http://www.gemeentegeschiedenis.nl/amco/10031","1926",6544221,"2002","heden","Zuid-Holland","west","Pijnacker",594,"zuidwest"
