"amco","naam","uri_naam","uri_amco","cbs_code","geonames","startjaar","eindjaar","provincie","regio","gm_naam","cbscode","regio2"
10334,"Koudum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Koudum","http://www.gemeentegeschiedenis.nl/amco/10334",NA,0,"oudsher","1816","Friesland","noord","Hemelumer Oldephaerd en Noordwolde",1260,"noordoost"
10335,"Duivendijke","http://www.gemeentegeschiedenis.nl/gemeentenaam/Duivendijke","http://www.gemeentegeschiedenis.nl/amco/10335","1050",0,"oudsher","1961","Zeeland","west","Duivendijke",1050,"zuidwest"
10336,"Oosterbeek","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oosterbeek","http://www.gemeentegeschiedenis.nl/amco/10336",NA,0,"oudsher","1818","Gelderland","oost",NA,NA,NA
10337,"'s-Heer Abtskerke","http://www.gemeentegeschiedenis.nl/gemeentenaam/s-Heer_Abtskerke","http://www.gemeentegeschiedenis.nl/amco/10337","669",0,"oudsher","1970","Zeeland","west","'s-Heer-Abtskerke",669,"zuidwest"
10338,"Nieuwenhoorn","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuwenhoorn","http://www.gemeentegeschiedenis.nl/amco/10338","1121",0,"oudsher","1960","Zuid-Holland","west","Nieuwenhoorn",1121,"zuidwest"
10339,"Sambeek","http://www.gemeentegeschiedenis.nl/gemeentenaam/Sambeek","http://www.gemeentegeschiedenis.nl/amco/10339","1167",0,"oudsher","1942","Noord-Brabant","zuid","Sambeek",1167,"zuidoost"
10340,"Bellingwedde","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bellingwedde","http://www.gemeentegeschiedenis.nl/amco/10340","7",2759248,"1968","heden","Groningen","noord","Bellingwolde",1019,"noordoost"
10340,"Bellingwolde","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bellingwolde","http://www.gemeentegeschiedenis.nl/amco/10340","1019",0,"oudsher","1968","Groningen","noord","Bellingwolde",1019,"noordoost"
10341,"Driel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Driel","http://www.gemeentegeschiedenis.nl/amco/10341","1248",0,"oudsher","1944","Gelderland","oost","Driel",1248,"zuidwest"
10341,"Maasdriel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Maasdriel","http://www.gemeentegeschiedenis.nl/amco/10341","263",2751295,"1944","heden","Gelderland","oost","Driel",1248,"zuidwest"
10342,"Culemborg","http://www.gemeentegeschiedenis.nl/gemeentenaam/Culemborg","http://www.gemeentegeschiedenis.nl/amco/10342","216",2757871,"oudsher","heden","Gelderland","oost","Culemborg",216,"zuidwest"
10343,"Zuidwijk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Zuidwijk","http://www.gemeentegeschiedenis.nl/amco/10343","1403",0,"1817","1846","Zuid-Holland","west",NA,NA,NA
10344,"Anna Paulowna","http://www.gemeentegeschiedenis.nl/gemeentenaam/Anna_Paulowna","http://www.gemeentegeschiedenis.nl/amco/10344","366",0,"1870","heden","Noord-Holland","west",NA,NA,NA
10345,"Rotterdam","http://www.gemeentegeschiedenis.nl/gemeentenaam/Rotterdam","http://www.gemeentegeschiedenis.nl/amco/10345","599",2747890,"oudsher","heden","Zuid-Holland","west","Rotterdam",599,"zuidwest"
10346,"Akersloot","http://www.gemeentegeschiedenis.nl/gemeentenaam/Akersloot","http://www.gemeentegeschiedenis.nl/amco/10346","360",0,"oudsher","2002","Noord-Holland","west","Akersloot",360,"noordwest"
10347,"Oude en Nieuwe Struiten","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oude_en_Nieuwe_Struiten","http://www.gemeentegeschiedenis.nl/amco/10347","1356",0,"1817","1855","Zuid-Holland","west",NA,NA,NA
10348,"Hoogvliet","http://www.gemeentegeschiedenis.nl/gemeentenaam/Hoogvliet","http://www.gemeentegeschiedenis.nl/amco/10348","1085",0,"1817","1934","Zuid-Holland","west","Hoogvliet",1085,"zuidwest"
10349,"Alkemade","http://www.gemeentegeschiedenis.nl/gemeentenaam/Alkemade","http://www.gemeentegeschiedenis.nl/amco/10349","483",0,"oudsher","2009","Zuid-Holland","west","Alkemade",483,"zuidwest"
10349,"Kaag en Braassem","http://www.gemeentegeschiedenis.nl/gemeentenaam/Kaag_en_Braassem","http://www.gemeentegeschiedenis.nl/amco/10349","1884",6544223,"2009","heden","Zuid-Holland","west","Alkemade",483,"zuidwest"
10350,"Montferland","http://www.gemeentegeschiedenis.nl/gemeentenaam/Montferland","http://www.gemeentegeschiedenis.nl/amco/10350","1955",6544256,"2005","heden","Gelderland","oost","Bergh",207,"zuidoost"
10350,"'s-Heerenberg","http://www.gemeentegeschiedenis.nl/gemeentenaam/s-Heerenberg","http://www.gemeentegeschiedenis.nl/amco/10350",NA,0,"oudsher","1821","Gelderland","oost","Bergh",207,"zuidoost"
10350,"Bergh","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bergh","http://www.gemeentegeschiedenis.nl/amco/10350","207",0,"1821","2005","Gelderland","oost","Bergh",207,"zuidoost"
10351,"Laagblokland","http://www.gemeentegeschiedenis.nl/gemeentenaam/Laagblokland","http://www.gemeentegeschiedenis.nl/amco/10351","1340",0,"1817","1857","Zuid-Holland","west",NA,NA,NA
10352,"Waterlandkerkje","http://www.gemeentegeschiedenis.nl/gemeentenaam/Waterlandkerkje","http://www.gemeentegeschiedenis.nl/amco/10352","722",0,"oudsher","1970","Zeeland","west","Waterlandkerkje",722,"zuidwest"
10353,"Oudwoude","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oudwoude","http://www.gemeentegeschiedenis.nl/amco/10353",NA,0,"oudsher","1816","Friesland","noord",NA,NA,NA
10354,"Koggenland","http://www.gemeentegeschiedenis.nl/gemeentenaam/Koggenland","http://www.gemeentegeschiedenis.nl/amco/10354","1598",6544220,"2007","heden","Noord-Holland","west","Berkhout",374,"noordwest"
10354,"Wester-Koggenland","http://www.gemeentegeschiedenis.nl/gemeentenaam/Wester-Koggenland","http://www.gemeentegeschiedenis.nl/amco/10354","558",0,"1979","2007","Noord-Holland","west","Berkhout",374,"noordwest"
10354,"Berkhout","http://www.gemeentegeschiedenis.nl/gemeentenaam/Berkhout","http://www.gemeentegeschiedenis.nl/amco/10354","374",0,"oudsher","1979","Noord-Holland","west","Berkhout",374,"noordwest"
10355,"Schiermonnikoog","http://www.gemeentegeschiedenis.nl/gemeentenaam/Schiermonnikoog","http://www.gemeentegeschiedenis.nl/amco/10355","88",2747589,"oudsher","heden","Friesland","noord","Schiermonnikoog",88,"noordoost"
10356,"Midwolda","http://www.gemeentegeschiedenis.nl/gemeentenaam/Midwolda","http://www.gemeentegeschiedenis.nl/amco/10356","28",0,"oudsher","1990","Groningen","noord","Midwolda",28,"noordoost"
10357,"Haarlem","http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem","http://www.gemeentegeschiedenis.nl/amco/10357","392",2755002,"oudsher","heden","Noord-Holland","west","Haarlem",392,"noordwest"
10358,"Rijssen-Holten","http://www.gemeentegeschiedenis.nl/gemeentenaam/Rijssen-Holten","http://www.gemeentegeschiedenis.nl/amco/10358","1742",6544230,"2003","heden","Overijssel","oost","Rijssen",178,"noordoost"
10358,"Rijssen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Rijssen","http://www.gemeentegeschiedenis.nl/amco/10358","178",0,"oudsher","2003","Overijssel","oost","Rijssen",178,"noordoost"
10359,"Hengelo [Ge]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Hengelo_Ge","http://www.gemeentegeschiedenis.nl/amco/10359","248",0,"oudsher","2005","Gelderland","oost","Hengelo (Gld.)",248,"zuidoost"
10360,"Oeffelt","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oeffelt","http://www.gemeentegeschiedenis.nl/amco/10360","822",0,"oudsher","1994","Noord-Brabant","zuid","Oeffelt",822,"zuidoost"
10361,"Wormerveer","http://www.gemeentegeschiedenis.nl/gemeentenaam/Wormerveer","http://www.gemeentegeschiedenis.nl/amco/10361","468",0,"oudsher","1974","Noord-Holland","west","Wormerveer",468,"noordwest"
10362,"Berlicum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Berlicum","http://www.gemeentegeschiedenis.nl/amco/10362","752",0,"oudsher","1996","Noord-Brabant","zuid","Berlicum",752,"zuidoost"
10363,"Oudorp","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oudorp","http://www.gemeentegeschiedenis.nl/amco/10363","438",0,"1817","1972","Noord-Holland","west","Oudorp",438,"noordwest"
10364,"Enschede","http://www.gemeentegeschiedenis.nl/gemeentenaam/Enschede","http://www.gemeentegeschiedenis.nl/amco/10364","153",2756070,"oudsher","heden","Overijssel","oost","Enschede",153,"zuidoost"
10365,"Wilnis","http://www.gemeentegeschiedenis.nl/gemeentenaam/Wilnis","http://www.gemeentegeschiedenis.nl/amco/10365","350",0,"oudsher","1989","Utrecht","west","Wilnis",350,"zuidwest"
10366,"Veur","http://www.gemeentegeschiedenis.nl/gemeentenaam/Veur","http://www.gemeentegeschiedenis.nl/amco/10366","1209",0,"1817","1938","Zuid-Holland","west","Veur",1209,"zuidwest"
10367,"Neede","http://www.gemeentegeschiedenis.nl/gemeentenaam/Neede","http://www.gemeentegeschiedenis.nl/amco/10367","266",0,"oudsher","2005","Gelderland","oost","Neede",266,"zuidoost"
10368,"Willige Langerak","http://www.gemeentegeschiedenis.nl/gemeentenaam/Willige_Langerak","http://www.gemeentegeschiedenis.nl/amco/10368","1226",0,"1818","1943","Utrecht","west","Willige-Langerak",1226,"zuidwest"
10369,"Veere","http://www.gemeentegeschiedenis.nl/gemeentenaam/Veere","http://www.gemeentegeschiedenis.nl/amco/10369","717",2745738,"oudsher","heden","Zeeland","west","Veere",717,"zuidwest"
10370,"Maasdonk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Maasdonk","http://www.gemeentegeschiedenis.nl/amco/10370","1671",6544283,"1993","heden","Noord-Brabant","zuid","Geffen",780,"zuidoost"
10370,"Geffen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Geffen","http://www.gemeentegeschiedenis.nl/amco/10370","780",0,"oudsher","1993","Noord-Brabant","zuid","Geffen",780,"zuidoost"
10371,"Twisk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Twisk","http://www.gemeentegeschiedenis.nl/amco/10371","449",0,"oudsher","1979","Noord-Holland","west","Twisk",449,"noordwest"
10372,"Kantens","http://www.gemeentegeschiedenis.nl/gemeentenaam/Kantens","http://www.gemeentegeschiedenis.nl/amco/10372","20",0,"oudsher","1990","Groningen","noord","Kantens",20,"noordoost"
10373,"Krommenie","http://www.gemeentegeschiedenis.nl/gemeentenaam/Krommenie","http://www.gemeentegeschiedenis.nl/amco/10373","413",0,"oudsher","1974","Noord-Holland","west","Krommenie",413,"noordwest"
10374,"Jutphaas","http://www.gemeentegeschiedenis.nl/gemeentenaam/Jutphaas","http://www.gemeentegeschiedenis.nl/amco/10374","322",0,"oudsher","1971","Utrecht","west","Jutphaas",322,"zuidwest"
10374,"Nieuwegein","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuwegein","http://www.gemeentegeschiedenis.nl/amco/10374","356",2750324,"1971","heden","Utrecht","west","Jutphaas",322,"zuidwest"
10375,"Scherpenisse","http://www.gemeentegeschiedenis.nl/gemeentenaam/Scherpenisse","http://www.gemeentegeschiedenis.nl/amco/10375","705",0,"oudsher","1971","Zeeland","west","Scherpenisse",705,"zuidwest"
10376,"Tholen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Tholen","http://www.gemeentegeschiedenis.nl/amco/10376","716",2746350,"oudsher","heden","Zeeland","west","Tholen",716,"zuidwest"
10377,"Weesperkarspel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Weesperkarspel","http://www.gemeentegeschiedenis.nl/amco/10377","1221",0,"1817","1966","Noord-Holland","west","Weesperkarspel",1221,"noordwest"
10378,"Schalkwijk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Schalkwijk","http://www.gemeentegeschiedenis.nl/amco/10378","1169",0,"oudsher","1962","Utrecht","west","Schalkwijk",1169,"zuidwest"
10379,"Deurne","http://www.gemeentegeschiedenis.nl/gemeentenaam/Deurne","http://www.gemeentegeschiedenis.nl/amco/10379","762",2757008,"1926","heden","Noord-Brabant","zuid","Deurne en Liessel",1041,"zuidoost"
10379,"Deurne en Liessel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Deurne_en_Liessel","http://www.gemeentegeschiedenis.nl/amco/10379","1041",0,"oudsher","1926","Noord-Brabant","zuid","Deurne en Liessel",1041,"zuidoost"
10380,"Oudenhoorn","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oudenhoorn","http://www.gemeentegeschiedenis.nl/amco/10380","586",0,"oudsher","1980","Zuid-Holland","west","Oudenhoorn",586,"zuidwest"
10381,"Stad Ommen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Stad_Ommen","http://www.gemeentegeschiedenis.nl/amco/10381","1192",0,"1818","1923","Overijssel","oost","Stad-Ommen",1192,"noordoost"
10382,"Schoten","http://www.gemeentegeschiedenis.nl/gemeentenaam/Schoten","http://www.gemeentegeschiedenis.nl/amco/10382","1173",0,"1817","1927","Noord-Holland","west","Schoten",1173,"noordwest"
10383,"Coevorden","http://www.gemeentegeschiedenis.nl/gemeentenaam/Coevorden","http://www.gemeentegeschiedenis.nl/amco/10383","109",2757936,"oudsher","heden","Drenthe","noord","Coevorden",109,"noordoost"
10384,"Nieuwleusen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuwleusen","http://www.gemeentegeschiedenis.nl/amco/10384","170",0,"1818","2001","Overijssel","oost","Nieuwleusen",170,"noordoost"
10385,"Erp","http://www.gemeentegeschiedenis.nl/gemeentenaam/Erp","http://www.gemeentegeschiedenis.nl/amco/10385","775",0,"oudsher","1994","Noord-Brabant","zuid","Erp",775,"zuidoost"
10386,"Oudeberkoop","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oudeberkoop","http://www.gemeentegeschiedenis.nl/amco/10386",NA,0,"oudsher","1816","Friesland","noord",NA,NA,NA
10387,"Halsteren","http://www.gemeentegeschiedenis.nl/gemeentenaam/Halsteren","http://www.gemeentegeschiedenis.nl/amco/10387","789",0,"oudsher","1997","Noord-Brabant","zuid","Halsteren",789,"zuidwest"
10388,"Obbicht en Papenhoven","http://www.gemeentegeschiedenis.nl/gemeentenaam/Obbicht_en_Papenhoven","http://www.gemeentegeschiedenis.nl/amco/10388","952",0,"oudsher","1982","Limburg","zuid","Obbicht en Papenhoven",952,"zuidoost"
10389,"Helvoirt","http://www.gemeentegeschiedenis.nl/gemeentenaam/Helvoirt","http://www.gemeentegeschiedenis.nl/amco/10389","795",0,"oudsher","1996","Noord-Brabant","zuid","Helvoirt",795,"zuidwest"
10390,"Liempde","http://www.gemeentegeschiedenis.nl/gemeentenaam/Liempde","http://www.gemeentegeschiedenis.nl/amco/10390","806",0,"oudsher","1996","Noord-Brabant","zuid","Liempde",806,"zuidwest"
10391,"Peursum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Peursum","http://www.gemeentegeschiedenis.nl/amco/10391","1154",0,"1817","1957","Zuid-Holland","west","Peursum",1154,"zuidwest"
10392,"Maarn","http://www.gemeentegeschiedenis.nl/gemeentenaam/Maarn","http://www.gemeentegeschiedenis.nl/amco/10392","332",0,"1818","2006","Utrecht","west","Maarn",332,"zuidwest"
10393,"Maasland","http://www.gemeentegeschiedenis.nl/gemeentenaam/Maasland","http://www.gemeentegeschiedenis.nl/amco/10393","555",0,"oudsher","2004","Zuid-Holland","west","Maasland",555,"zuidwest"
10394,"Sint Philipsland","http://www.gemeentegeschiedenis.nl/gemeentenaam/Sint_Philipsland","http://www.gemeentegeschiedenis.nl/amco/10394","712",0,"oudsher","1995","Zeeland","west","Sint Philipsland",712,"zuidwest"
10395,"Den Ham","http://www.gemeentegeschiedenis.nl/gemeentenaam/Den_Ham","http://www.gemeentegeschiedenis.nl/amco/10395","159",0,"oudsher","2001","Overijssel","oost","Den Ham",159,"noordoost"
10396,"Doetinchem","http://www.gemeentegeschiedenis.nl/gemeentenaam/Doetinchem","http://www.gemeentegeschiedenis.nl/amco/10396","222",2756766,"1920","heden","Gelderland","oost","Ambt-Doetinchem",1010,"zuidoost"
10396,"Ambt Doetinchem","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ambt_Doetinchem","http://www.gemeentegeschiedenis.nl/amco/10396","1010",0,"1818","1920","Gelderland","oost","Ambt-Doetinchem",1010,"zuidoost"
10397,"Oudenbosch","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oudenbosch","http://www.gemeentegeschiedenis.nl/amco/10397","830",0,"oudsher","1997","Noord-Brabant","zuid","Oudenbosch",830,"zuidwest"
10397,"Halderberge","http://www.gemeentegeschiedenis.nl/gemeentenaam/Halderberge","http://www.gemeentegeschiedenis.nl/amco/10397","1655",6544271,"1997","heden","Noord-Brabant","zuid","Oudenbosch",830,"zuidwest"
10398,"Benthuizen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Benthuizen","http://www.gemeentegeschiedenis.nl/amco/10398","490",0,"1817","1991","Zuid-Holland","west","Benthuizen",490,"zuidwest"
10399,"Sint-Oedenrode","http://www.gemeentegeschiedenis.nl/gemeentenaam/Sint-Oedenrode","http://www.gemeentegeschiedenis.nl/amco/10399","846",2747226,"oudsher","heden","Noord-Brabant","zuid","Sint-Oedenrode",846,"zuidoost"
10400,"Retranchement","http://www.gemeentegeschiedenis.nl/gemeentenaam/Retranchement","http://www.gemeentegeschiedenis.nl/amco/10400","701",0,"oudsher","1970","Zeeland","west","Retranchement",701,"zuidwest"
10401,"Nieuw-Vossemeer","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuw-Vossemeer","http://www.gemeentegeschiedenis.nl/amco/10401","818",0,"oudsher","1997","Noord-Brabant","zuid","Nieuw-Vossemeer",818,"zuidwest"
10402,"Waspik","http://www.gemeentegeschiedenis.nl/gemeentenaam/Waspik","http://www.gemeentegeschiedenis.nl/amco/10402","869",0,"oudsher","1997","Noord-Brabant","zuid","Waspik",869,"zuidwest"
10403,"Thamen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Thamen","http://www.gemeentegeschiedenis.nl/amco/10403",NA,0,"1818","1820","Noord-Holland","west",NA,NA,NA
10404,"Franekeradeel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Franekeradeel","http://www.gemeentegeschiedenis.nl/amco/10404","70",2755843,"1816","heden","Friesland","noord","Franekeradeel",70,"noordoost"
10404,"Tjum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Tjum","http://www.gemeentegeschiedenis.nl/amco/10404",NA,0,"oudsher","1816","Friesland","noord","Franekeradeel",70,"noordoost"
10405,"Drachten","http://www.gemeentegeschiedenis.nl/gemeentenaam/Drachten","http://www.gemeentegeschiedenis.nl/amco/10405",NA,0,"oudsher","1816","Friesland","noord","Smallingerland",90,"noordoost"
10405,"Smallingerland","http://www.gemeentegeschiedenis.nl/gemeentenaam/Smallingerland","http://www.gemeentegeschiedenis.nl/amco/10405","90",2747091,"1816","heden","Friesland","noord","Smallingerland",90,"noordoost"
10406,"Ginneken en Bavel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ginneken_en_Bavel","http://www.gemeentegeschiedenis.nl/amco/10406","1064",0,"oudsher","1942","Noord-Brabant","zuid","Ginneken en Bavel",1064,"zuidwest"
10406,"Nieuw-Ginneken","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuw-Ginneken","http://www.gemeentegeschiedenis.nl/amco/10406","817",0,"1942","1997","Noord-Brabant","zuid","Ginneken en Bavel",1064,"zuidwest"
10407,"Roosendaal en Nispen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Roosendaal_en_Nispen","http://www.gemeentegeschiedenis.nl/amco/10407","838",0,"oudsher","1997","Noord-Brabant","zuid","Roosendaal en Nispen",838,"zuidwest"
10407,"Roosendaal","http://www.gemeentegeschiedenis.nl/gemeentenaam/Roosendaal","http://www.gemeentegeschiedenis.nl/amco/10407","1674",2747929,"1997","heden","Noord-Brabant","zuid","Roosendaal en Nispen",838,"zuidwest"
10408,"Beek [Ge]","http://www.gemeentegeschiedenis.nl/gemeentenaam/Beek_Ge","http://www.gemeentegeschiedenis.nl/amco/10408",NA,NA,"oudsher","1818","Gelderland","oost","Ubbergen",282,"zuidoost"
10408,"Ubbergen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ubbergen","http://www.gemeentegeschiedenis.nl/amco/10408","282",2746011,"1818","heden","Gelderland","oost","Ubbergen",282,"zuidoost"
10409,"Olst-Wijhe","http://www.gemeentegeschiedenis.nl/gemeentenaam/Olst-Wijhe","http://www.gemeentegeschiedenis.nl/amco/10409","1773",6544248,"2002","heden","Overijssel","oost","Olst",174,"noordoost"
10409,"Olst","http://www.gemeentegeschiedenis.nl/gemeentenaam/Olst","http://www.gemeentegeschiedenis.nl/amco/10409","174",0,"oudsher","2002","Overijssel","oost","Olst",174,"noordoost"
10410,"Hoogezand-Sappemeer","http://www.gemeentegeschiedenis.nl/gemeentenaam/Hoogezand-Sappemeer","http://www.gemeentegeschiedenis.nl/amco/10410","18",2753705,"1949","heden","Groningen","noord","Hoogezand",1083,"noordoost"
10410,"Hoogezand","http://www.gemeentegeschiedenis.nl/gemeentenaam/Hoogezand","http://www.gemeentegeschiedenis.nl/amco/10410","1083",0,"oudsher","1949","Groningen","noord","Hoogezand",1083,"noordoost"
10411,"Indijk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Indijk","http://www.gemeentegeschiedenis.nl/amco/10411",NA,0,"1817","1821","Utrecht","west",NA,NA,NA
10412,"Renesse","http://www.gemeentegeschiedenis.nl/gemeentenaam/Renesse","http://www.gemeentegeschiedenis.nl/amco/10412","1159",0,"oudsher","1961","Zeeland","west","Renesse",1159,"zuidwest"
10413,"Heinkenszand","http://www.gemeentegeschiedenis.nl/gemeentenaam/Heinkenszand","http://www.gemeentegeschiedenis.nl/amco/10413","672",0,"oudsher","1970","Zeeland","west","Heinkenszand",672,"zuidwest"
10414,"Schardam","http://www.gemeentegeschiedenis.nl/gemeentenaam/Schardam","http://www.gemeentegeschiedenis.nl/amco/10414","1366",0,"1817","1854","Noord-Holland","west",NA,NA,NA
10415,"Tolsteeg","http://www.gemeentegeschiedenis.nl/gemeentenaam/Tolsteeg","http://www.gemeentegeschiedenis.nl/amco/10415",NA,0,"1818","1823","Utrecht","west",NA,NA,NA
10416,"Hendrik-Ido-Ambacht","http://www.gemeentegeschiedenis.nl/gemeentenaam/Hendrik-Ido-Ambacht","http://www.gemeentegeschiedenis.nl/amco/10416","531",2754407,"oudsher","heden","Zuid-Holland","west","Hendrik-Ido-Ambacht",531,"zuidwest"
10417,"Beuningen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Beuningen","http://www.gemeentegeschiedenis.nl/amco/10417","209",2759014,"oudsher","heden","Gelderland","oost","Beuningen",209,"zuidoost"
10418,"Diever","http://www.gemeentegeschiedenis.nl/gemeentenaam/Diever","http://www.gemeentegeschiedenis.nl/amco/10418","111",0,"oudsher","1998","Drenthe","noord","Diever",111,"noordoost"
10419,"Boskoop","http://www.gemeentegeschiedenis.nl/gemeentenaam/Boskoop","http://www.gemeentegeschiedenis.nl/amco/10419","499",2758546,"oudsher","heden","Zuid-Holland","west","Boskoop",499,"zuidwest"
10420,"Ohé en Laak","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ohe_en_Laak","http://www.gemeentegeschiedenis.nl/amco/10420","953",0,"oudsher","1991","Limburg","zuid","Ohé en Laak",953,"zuidoost"
10421,"Egmond aan Zee","http://www.gemeentegeschiedenis.nl/gemeentenaam/Egmond_aan_Zee","http://www.gemeentegeschiedenis.nl/amco/10421","386",0,"oudsher","1978","Noord-Holland","west","Egmond aan Zee",386,"noordwest"
10421,"Egmond","http://www.gemeentegeschiedenis.nl/gemeentenaam/Egmond","http://www.gemeentegeschiedenis.nl/amco/10421","357",0,"1978","2001","Noord-Holland","west","Egmond aan Zee",386,"noordwest"
10422,"Littenseradeel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Littenseradeel","http://www.gemeentegeschiedenis.nl/amco/10422","103",0,"1984","1985","Friesland","noord","Baarderadeel",61,"noordoost"
10422,"Baarderadeel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Baarderadeel","http://www.gemeentegeschiedenis.nl/amco/10422","61",0,"1816","1984","Friesland","noord","Baarderadeel",61,"noordoost"
10422,"Bozum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bozum","http://www.gemeentegeschiedenis.nl/amco/10422",NA,0,"oudsher","1816","Friesland","noord","Baarderadeel",61,"noordoost"
10422,"Littenseradiel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Littenseradiel","http://www.gemeentegeschiedenis.nl/amco/10422","140",6544300,"1985","heden","Friesland","noord","Baarderadeel",61,"noordoost"
10423,"Loenen en Wolferen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Loenen_en_Wolferen","http://www.gemeentegeschiedenis.nl/amco/10423","1341",0,"1818","1854","Gelderland","oost",NA,NA,NA
10424,"Dommelen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Dommelen","http://www.gemeentegeschiedenis.nl/amco/10424","1045",0,"oudsher","1934","Noord-Brabant","zuid","Dommelen",1045,"zuidoost"
10425,"Bedum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bedum","http://www.gemeentegeschiedenis.nl/amco/10425","5",2759355,"oudsher","heden","Groningen","noord","Bedum",5,"noordoost"
10426,"Groningen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Groningen","http://www.gemeentegeschiedenis.nl/amco/10426","14",2755250,"oudsher","heden","Groningen","noord","Groningen",14,"noordoost"
10427,"Papendrecht","http://www.gemeentegeschiedenis.nl/gemeentenaam/Papendrecht","http://www.gemeentegeschiedenis.nl/amco/10427","590",2748728,"oudsher","heden","Zuid-Holland","west","Papendrecht",590,"zuidwest"
10428,"Drunen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Drunen","http://www.gemeentegeschiedenis.nl/amco/10428","767",0,"oudsher","1997","Noord-Brabant","zuid","Drunen",767,"zuidwest"
10429,"Vrijberge","http://www.gemeentegeschiedenis.nl/gemeentenaam/Vrijberge","http://www.gemeentegeschiedenis.nl/amco/10429","",0,"oudsher","1813","Zeeland","west",NA,NA,NA
10430,"Charlois","http://www.gemeentegeschiedenis.nl/gemeentenaam/Charlois","http://www.gemeentegeschiedenis.nl/amco/10430","1037",0,"oudsher","1895","Zuid-Holland","west","Charlois",1037,"zuidwest"
10431,"Lauwerecht","http://www.gemeentegeschiedenis.nl/gemeentenaam/Lauwerecht","http://www.gemeentegeschiedenis.nl/amco/10431",NA,0,"1818","1823","Utrecht","west",NA,NA,NA
10432,"Boekel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Boekel","http://www.gemeentegeschiedenis.nl/amco/10432","755",2758757,"oudsher","heden","Noord-Brabant","zuid","Boekel",755,"zuidoost"
10433,"Venhuizen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Venhuizen","http://www.gemeentegeschiedenis.nl/amco/10433","454",0,"oudsher","2006","Noord-Holland","west","Venhuizen",454,"noordwest"
10434,"Wijdewormer","http://www.gemeentegeschiedenis.nl/gemeentenaam/Wijdewormer","http://www.gemeentegeschiedenis.nl/amco/10434","470",0,"1817","1991","Noord-Holland","west","Wijdewormer",470,"noordwest"
10435,"Meerdervoort","http://www.gemeentegeschiedenis.nl/gemeentenaam/Meerdervoort","http://www.gemeentegeschiedenis.nl/amco/10435","1343",0,"1817","1855","Zuid-Holland","west",NA,NA,NA
