my_medewerkersnummer,mijn_wijknaam,afdeling_kohier,kiesdistrict_GR1899,woningbouwvereniging
918,rozenprieel,3,3,
919,burgwal,1,2,
920,amsterdamse buurt,1,1,ons doel en streven
921,amsterdamse buurt,1,1,
922,rozenprieel,3,3,
923,amsterdamse buurt,1,1,
924,rozenprieel,3,3,
925,rozenprieel,3,3,
926,rozenprieel,3,3,
927,vijfhoek,4,3,
928,amsterdamse buurt,1,1,nut door spaarzaamheid
929,rozenprieel,3,3,
930,amsterdamse buurt,1,1,ons doel en streven
931,leidse buurt,4,3,
932,amsterdamse buurt,1,1,
933,amsterdamse buurt,1,1,
934,vijfhoek,4,3,
935,rozenprieel,3,3,
936,zijlweg,6,2,
937,leidse buurt,4,3,
938,centrum,4,1,
939,vijfhoek,4,3,
940,amsterdamse buurt,1,1,
941,rozenprieel,3,3,
942,heiligland,3,3,
943,amsterdamse buurt,1,1,
944,amsterdamse buurt,1,1,
945,bakenes,2,2,
946,stationsbuurt,6,2,
947,burgwal,1,2,
948,rozenprieel,3,3,
949,amsterdamse buurt,1,1,
950,amsterdamse buurt,1,1,
951,rozenprieel,3,3,
952,amsterdamse buurt,1,1,
953,stationsbuurt,6,2,
954,burgwal,1,2,
955,amsterdamse buurt,1,1,ons doel en streven
956,bakenes,2,2,
957,amsterdamse buurt,1,1,nut door spaarzaamheid
959,frans hals buurt,6,2,
960,hout,3,3,
961,kamp,3,3,
962,frans hals buurt,6,2,
963,burgwal,1,2,
964,burgwal,1,1,
965,rozenprieel,3,3,
967,amsterdamse buurt,1,1,
968,rozenprieel,3,3,
969,burgwal,1,1,
970,bloemendaal,0,0,
971,leidse buurt,4,3,
972,frans hals buurt,6,2,
973,amsterdamse buurt,1,1,
974,leidse buurt,4,3,
975,amsterdamse buurt,1,1,
976,burgwal,1,1,
977,burgwal,1,1,
978,rozenprieel,3,3,
979,bakenes,2,2,
980,burgwal,1,2,
981,frans hals buurt,6,2,
982,amsterdamse buurt,1,1,
983,amsterdamse buurt,1,1,
984,burgwal,1,1,
985,rozenprieel,3,3,
986,leidse buurt,4,3,
987,amsterdamse buurt,1,1,
988,amsterdamse buurt,1,1,
989,amsterdamse buurt,1,1,
990,amsterdamse buurt,1,1,
991,amsterdamse buurt,1,1,
992,vijfhoek,4,3,
993,rozenprieel,3,3,
994,amsterdamse buurt,1,1,nut door spaarzaamheid
995,rozenprieel,3,3,
996,rozenprieel,3,3,
997,rozenprieel,3,3,
998,stationsbuurt,6,2,
999,amsterdamse buurt,1,1,
1000,leidse buurt,4,3,
1001,vijfhoek,4,3,
1002,amsterdamse buurt,1,1,
1003,amsterdamse buurt,1,1,
1004,heiligland,3,3,
1005,schoten,0,0,
1006,rozenprieel,3,3,
1007,frans hals buurt,6,2,
1008,burgwal,1,1,
1009,rozenprieel,3,3,
1010,amsterdamse buurt,1,1,
1011,frans hals buurt,6,2,
1012,burgwal,1,1,
1013,stationsbuurt,6,2,
1014,stationsbuurt,6,2,
1015,frans hals buurt,6,2,
1016,amsterdamse buurt,1,1,nut door spaarzaamheid
1017,leidse buurt,4,3,
1018,amsterdamse buurt,1,1,
1019,amsterdamse buurt,1,1,ons doel en streven
1020,rozenprieel,3,3,
1021,burgwal,1,2,
1022,rozenprieel,3,3,
1023,burgwal,1,1,
1024,amsterdamse buurt,1,1,
1025,rozenprieel,3,3,
1026,vijfhoek,4,3,
1027,amsterdamse buurt,1,1,nut door spaarzaamheid
1028,leidse buurt,4,3,
1029,amsterdamse buurt,1,1,
1030,rozenprieel,3,3,
1031,schoten,0,0,
1032,leidse buurt,4,3,
1033,amsterdamse buurt,1,1,
1034,rozenprieel,3,3,
1035,rozenprieel,3,3,
1036,burgwal,1,1,
1037,bakenes,2,2,
1038,amsterdamse buurt,1,1,nut door spaarzaamheid
1039,burgwal,1,1,
1040,amsterdamse buurt,1,1,
1041,burgwal,1,2,
1042,schoten,0,0,
1043,rozenprieel,3,3,
1044,schoten,0,0,
1045,burgwal,1,1,
1046,burgwal,1,2,
1047,rozenprieel,3,3,
1048,heiligland,3,3,
1049,amsterdamse buurt,1,1,
1050,burgwal,1,2,
1051,burgwal,1,1,
1052,amsterdamse buurt,1,1,ons doel en streven
1053,leidse buurt,4,3,
1054,stationsbuurt,6,2,
1055,leidse buurt,4,3,
1056,vijfhoek,4,3,
1057,burgwal,1,1,
1058,rozenprieel,3,3,
1059,rozenprieel,3,3,
1060,amsterdamse buurt,1,1,
1061,burgwal,1,2,
1062,amsterdamse buurt,1,1,
1063,rozenprieel,3,3,
1064,burgwal,1,1,
1065,centrum,5,2,
1067,amsterdamse buurt,1,1,
1068,amsterdamse buurt,1,1,
1069,amsterdamse buurt,1,1,
1070,rozenprieel,3,3,
1071,rozenprieel,3,3,
1072,vijfhoek,4,3,
1073,kamp,3,3,
1074,schoten,0,0,
1075,amsterdamse buurt,1,1,
1076,schoten,0,0,
1077,amsterdamse buurt,1,1,
1078,amsterdamse buurt,1,1,
1080,hout,4,3,
1081,burgwal,1,1,
1082,amsterdamse buurt,1,1,
1083,amsterdamse buurt,1,1,
1084,burgwal,1,1,
1085,amsterdamse buurt,1,1,
1086,bakenes,2,2,
1087,frans hals buurt,6,2,
1088,amsterdamse buurt,1,1,
1089,kamp,3,3,
1090,leidse buurt,4,3,
1091,zijlweg,6,2,
1092,centrum,5,1,
1093,leidse buurt,4,3,
1094,amsterdamse buurt,1,1,
1095,burgwal,1,2,
1096,zijlweg,5,2,
1097,schoten,0,0,
1098,haarlemmerliede,0,0,
1099,zijlweg,6,2,
1100,amsterdamse buurt,1,1,
1101,amsterdamse buurt,1,1,
1102,kamp,3,3,
1103,amsterdamse buurt,1,1,nut door spaarzaamheid
1104,amsterdamse buurt,1,1,
1105,amsterdamse buurt,1,1,
1106,amsterdamse buurt,1,1,nut door spaarzaamheid
1107,rozenprieel,3,3,
1108,rozenprieel,3,3,
1109,burgwal,1,2,
1110,amsterdamse buurt,1,1,
1111,amsterdamse buurt,1,1,
1112,amsterdamse buurt,1,1,
1113,amsterdamse buurt,1,1,
1114,rozenprieel,3,3,
1115,amsterdamse buurt,1,1,
1116,rozenprieel,3,3,
1117,amsterdamse buurt,1,1,
1118,schoten,0,0,
1119,amsterdamse buurt,1,1,
1120,burgwal,1,2,
1121,amsterdamse buurt,1,1,
1122,burgwal,1,2,
1123,rozenprieel,3,3,
1124,rozenprieel,3,3,
1125,amsterdamse buurt,1,1,nut door spaarzaamheid
1127,amsterdamse buurt,1,1,
1128,haarlemmerliede,0,0,
1129,frans hals buurt,6,2,
1130,amsterdamse buurt,1,1,nut door spaarzaamheid
1131,hout,3,3,
1132,amsterdamse buurt,1,1,nut door spaarzaamheid
1133,frans hals buurt,6,2,
1134,amsterdamse buurt,1,1,nut door spaarzaamheid
1135,bakenes,2,1,
1136,amsterdamse buurt,1,1,nut door spaarzaamheid
1137,amsterdamse buurt,1,1,
1138,amsterdamse buurt,1,1,
1139,amsterdamse buurt,1,1,
1140,frans hals buurt,6,2,
1142,rozenprieel,3,3,
1143,burgwal,6,2,
1144,frans hals buurt,6,2,
1145,amsterdamse buurt,1,1,
1146,rozenprieel,3,3,
1147,schoten,0,0,
1148,burgwal,1,1,
1149,rozenprieel,3,3,
1150,amsterdamse buurt,1,1,ons doel en streven
1151,burgwal,1,2,
1152,rozenprieel,3,3,
1153,amsterdamse buurt,1,1,
1154,vijfhoek,4,3,
1155,amsterdamse buurt,1,1,nut door spaarzaamheid
1156,rozenprieel,3,3,
1157,rozenprieel,3,3,
1158,vijfhoek,4,3,
1159,amsterdamse buurt,1,1,
1160,rozenprieel,3,3,
1161,amsterdamse buurt,1,1,ons doel en streven
1162,heiligland,3,3,
1163,heiligland,3,3,
2001,burgwal,1,1,
2002,rozenprieel,3,3,
2003,amsterdamse buurt,1,1,
2004,amsterdamse buurt,1,1,
2005,rozenprieel,3,3,
2006,amsterdamse buurt,1,1,
2007,frans hals buurt,6,2,
2008,rozenprieel,3,3,
2010,burgwal,1,2,
2012,amsterdamse buurt,1,1,
2013,rozenprieel,3,3,
2014,burgwal,1,1,
2015,kamp,3,3,
2016,stationsbuurt,6,2,
2017,stationsbuurt,6,2,
2018,amsterdamse buurt,1,1,ons doel en streven
2019,burgwal,1,2,
2021,amsterdamse buurt,1,1,nut door spaarzaamheid
2023,burgwal,1,1,
2024,amsterdamse buurt,1,1,
2025,hout,3,3,
2026,amsterdamse buurt,1,1,
2027,amsterdamse buurt,1,1,
2028,centrum,5,1,
2029,amsterdamse buurt,1,1,
2030,amsterdamse buurt,1,1,
2031,amsterdamse buurt,1,1,
2033,amsterdamse buurt,1,1,
2034,amsterdamse buurt,1,1,
2036,amsterdamse buurt,1,1,
2038,amsterdamse buurt,1,1,
2039,amsterdamse buurt,1,1,
2040,amsterdamse buurt,1,1,
2041,burgwal,1,1,
2044,burgwal,1,2,
2045,burgwal,1,1,
2046,burgwal,1,2,
2047,centrum,2,1,
2053,schoten,0,0,
2054,burgwal,1,1,
2055,amsterdamse buurt,1,1,
2056,rozenprieel,3,3,
2057,amsterdamse buurt,1,1,
2058,amsterdamse buurt,1,1,ons doel en streven
2059,burgwal,1,1,
2060,amsterdamse buurt,1,1,
2061,amsterdamse buurt,1,1,
2062,amsterdamse buurt,1,1,
2064,amsterdamse buurt,1,1,
2065,amsterdamse buurt,1,1,
3001,hout,4,3,
3002,centrum,5,2,
3003,hout,3,3,
3004,hout,3,3,
3005,zijlweg,6,2,
3006,burgwal,1,1,
3007,frans hals buurt,6,2,
3008,zijlweg,5,2,
3009,stationsbuurt,6,2,
3010,zijlweg,4,2,
3011,centrum,5,1,
3012,stationsbuurt,6,2,
3014,stationsbuurt,6,2,
3015,bakenes,2,2,
3016,centrum,5,2,
3017,stationsbuurt,6,2,
3019,hout,4,3,
3020,rozenprieel,3,3,
3021,centrum,5,1,
3022,velsen,0,0,
3023,zijlweg,5,2,
3024,centrum,5,1,
3025,stationsbuurt,6,2,
3026,hout,3,3,
3027,hout,4,3,
3028,kamp,3,3,
3029,zijlweg,5,2,
3030,hout,3,3,
3031,zijlweg,5,2,
3032,zijlweg,5,2,
3033,frans hals buurt,6,2,
3034,stationsbuurt,6,2,
3035,stationsbuurt,6,2,
3036,burgwal,1,2,
3037,zijlweg,5,2,
3038,bakenes,2,2,
3039,bakenes,2,1,
3040,zijlweg,4,2,
3041,stationsbuurt,6,2,
3042,rozenprieel,3,3,
3043,burgwal,1,1,
3044,kamp,3,3,
3045,zijlweg,6,2,
3046,centrum,5,2,
3047,heiligland,3,3,
3048,bakenes,2,1,
3050,amsterdamse buurt,1,1,
3051,centrum,5,1,
3052,heiligland,3,3,
3053,zijlweg,5,2,
3054,zijlweg,5,2,
3055,amsterdamse buurt,1,1,
3056,rozenprieel,3,3,
3057,zijlweg,5,2,
3058,zijlweg,5,2,
3059,zijlweg,5,2,
3060,rozenprieel,3,3,
3061,stationsbuurt,6,2,
3062,rozenprieel,3,3,
3063,rozenprieel,3,3,
3064,zijlweg,5,2,
3066,burgwal,1,1,
3067,amsterdamse buurt,1,1,
3068,rozenprieel,3,3,
3069,stationsbuurt,6,2,
3070,zijlweg,5,2,
3071,leidse buurt,4,3,
3072,zijlweg,5,2,
3073,zijlweg,5,2,
3075,stationsbuurt,6,2,
3076,leidse buurt,4,3,
3077,zijlweg,5,2,
3078,zijlweg,6,2,
