my_medewerkersnummer,mijn_wijknaam,afdeling_kohier,kiesdistrict_GR1899,woningbouwvereniging
209,amsterdamse buurt,1,1,
210,gesticht,0,0,
211,amsterdamse buurt,1,1,
212,rozenprieel,3,3,
213,amsterdamse buurt,1,1,
214,amsterdamse buurt,1,1,
215,amsterdamse buurt,1,1,
216,amsterdamse buurt,1,1,
217,amsterdamse buurt,1,1,nut door spaarzaamheid
218,burgwal,1,2,
219,burgwal,1,1,
220,heiligland,3,3,
221,kamp,3,3,
222,burgwal,1,1,
223,burgwal,1,1,
224,bakenes,2,2,
225,amsterdamse buurt,1,1,
226,burgwal,1,2,
227,amsterdamse buurt,1,1,
228,amsterdamse buurt,1,1,
229,rozenprieel,3,3,
230,amsterdamse buurt,1,1,
231,vijfhoek,4,1,
232,bakenes,2,2,
234,amsterdamse buurt,1,1,ons doel en streven
235,amsterdamse buurt,1,1,
236,leidse buurt,4,3,
237,rozenprieel,3,3,
238,rozenprieel,3,3,
239,amsterdamse buurt,1,1,
240,amsterdamse buurt,1,1,
241,amsterdamse buurt,1,1,
242,amsterdamse buurt,1,1,ons doel en streven
244,rozenprieel,3,3,
245,amsterdamse buurt,1,1,ons doel en streven
246,burgwal,1,1,
247,leidse buurt,4,3,
248,rozenprieel,3,3,
249,rozenprieel,3,3,
250,amsterdamse buurt,1,1,nut door spaarzaamheid
251,amsterdamse buurt,1,1,
252,amsterdamse buurt,1,1,
253,frans hals buurt,6,2,
254,burgwal,1,1,
255,amsterdamse buurt,1,1,
256,amsterdamse buurt,1,1,
257,burgwal,1,1,
258,amsterdamse buurt,1,1,nut door spaarzaamheid
259,centrum,5,1,
261,amsterdamse buurt,1,1,ons doel en streven
262,centrum,2,1,
263,zijlweg,6,2,
264,amsterdamse buurt,1,1,
265,amsterdamse buurt,1,1,
266,amsterdamse buurt,1,1,
267,amsterdamse buurt,1,1,
268,amsterdamse buurt,1,1,
269,vijfhoek,4,1,
270,amsterdamse buurt,1,1,
271,amsterdamse buurt,1,1,
272,amsterdamse buurt,1,1,
273,rozenprieel,3,3,
274,amsterdamse buurt,1,1,
275,burgwal,1,1,
276,rozenprieel,3,3,
277,vijfhoek,4,3,
278,kamp,3,3,
279,rozenprieel,3,3,
280,amsterdamse buurt,1,1,
281,amsterdamse buurt,1,1,
282,stationsbuurt,6,2,
283,amsterdamse buurt,1,1,nut door spaarzaamheid
284,amsterdamse buurt,1,1,
285,amsterdamse buurt,1,1,
286,burgwal,1,2,
287,amsterdamse buurt,1,1,
288,hout,4,3,
289,stationsbuurt,6,2,
290,amsterdamse buurt,1,1,
291,rozenprieel,3,3,
292,rozenprieel,3,3,
293,stationsbuurt,6,2,
294,centrum,5,2,
295,amsterdamse buurt,1,1,ons doel en streven
296,amsterdamse buurt,1,1,ons doel en streven
297,amsterdamse buurt,1,1,
298,amsterdamse buurt,1,1,ons doel en streven
299,amsterdamse buurt,1,1,
