gm_naam,cbscode,acode
Schoonrewoerd,609,10214
Woerden,632,10974
Sliedrecht,610,11331
Spijkenisse,612,10735
Stolwijk,615,11250
Streefkerk,616,11105
Strijen,617,10558
Tienhoven (ZH.),618,10706
Valkenburg (ZH.),619,10028
Vianen,620,10887
Vierpolders,621,11056
Vlaardingen,622,10811
Vlist,623,11174
Voorburg,624,11103
Voorhout,625,10017
Voorschoten,626,10537
Warmond,628,10204
Wassenaar,629,10164
Wateringen,630,11329
Westmaas,631,10695
Woubrugge,633,10461
Wijngaarden,634,10263
Zevenhuizen,636,11377
Zoetermeer,637,10766
Zoeterwoude,638,11074
Zuid-Beijerland,639,10917
Zuidland,640,10316
Zwartewaal,641,10703
Zwijndrecht,642,10468
Aardenburg,648,11020
Arnemuiden,649,11419
Axel,650,11289
Baarland,651,10634
Biervliet,652,10257
Breskens,655,10233
Brouwershaven,656,10030
Bruinisse,657,11291
Cadzand,658,11002
Clinge,659,10965
Domburg,660,10236
Driewegen,661,11115
Ellewoutsdijk,663,11300
Goes,664,10674
Graauw en Langendam,665,10312
's-Gravenpolder,666,11059
Groede,667,11312
's-Heer-Abtskerke,669,10337
's-Heer-Arendskerke,670,10875
's-Heerenhoek,671,10721
Heinkenszand,672,10413
Hoedekenskerke,673,11072
Hoek,674,10038
Hontenisse,675,11123
Hoofdplaat,676,10147
Kapelle,678,11223
Kattendijke,679,11218
Kloetinge,680,10155
Koewacht,681,10892
Kortgene,682,10250
Krabbendijke,684,11038
Kruiningen,685,10077
Middelburg (Z.),687,10122
Nieuwvliet,690,11165
Nisse,691,11086
Oostburg,692,10782
Oudelande,695,11139
Oud-Vossemeer,696,10134
Overslag,697,10730
Ovezande,698,11422
Poortvliet,700,11181
Retranchement,701,10400
Sas van Gent,704,11405
Scherpenisse,705,10375
Schoondijke,706,10189
Sint-Annaland,708,11200
Sint Jansteen,709,10864
Sint-Maartensdijk,711,10716
Sint Philipsland,712,10394
Sluis,713,10895
Stavenisse,714,10619
Terneuzen,715,10704
Tholen,716,10376
Veere,717,10369
Vlissingen,718,10270
Waarde,721,10082
Waterlandkerkje,722,10352
Wemeldinge,723,11145
Westdorpe,724,10915
Westkapelle,726,10931
Wolphaartsdijk,728,10543
Yerseke,729,11247
IJzendijke,730,10688
Zaamslag,731,11173
Zierikzee,732,10843
Zuiddorpe,734,11087
Zuidzande,735,10437
Almkerk,740,10788
Alphen en Riel,741,10710
Andel,742,10871
Baarle-Nassau,744,10060
Bergen op Zoom,748,11037
Bergeyk,749,11160
Berkel-Enschot,751,11132
Best,753,10442
Bladel en Netersel,754,11006
Boxtel,757,10083
Breda,758,10154
Chaam,760,11433
Diessen,763,11185
Dinteloord en Prinsenland,764,11193
Dongen,766,11412
Drunen,767,10428
Den Dungen,768,10491
Eersel,770,10741
Empel en Meerwijk,773,10295
Engelen,774,10322
Esch,776,10709
Fijnaart en Heijningen,778,10206
Geertruidenberg,779,10101
Giessen,783,10193
Gilze en Rijen,784,11375
Goirle,785,10971
's-Gravenmoer,787,10469
Haaren,788,11155
Halsteren,789,10387
Helvoirt,795,10389
's-Hertogenbosch,796,10054
Heusden,797,10307
Hilvarenbeek,798,11297
Hoeven,799,10065
"Hoogeloon, Hapert en Casteren",800,10657
Hooge en Lage Mierde,801,10476
Hooge en Lage Zwaluwe,802,11318
Huijbergen,803,10466
Klundert,804,10656
Liempde,806,10390
Lith,808,11219
Loon op Zand,809,11259
Luyksgestel,810,10011
Made en Drimmelen,812,10258
Moergestel,816,11191
Nieuw-Vossemeer,818,10401
Oirschot,823,10225
Oisterwijk,824,10103
"Oost-, West- en Middelbeers",825,10220
Oosterhout,826,11280
Ossendrecht,829,10929
Oudenbosch,830,10397
Oud en Nieuw Gastel,831,11363
Putte,833,10099
Raamsdonk,834,11391
Reusel,836,10162
Riethoven,837,10455
Roosendaal en Nispen,838,10407
Rosmalen,839,10970
Rucphen,840,11152
Rijsbergen,841,10866
Rijswijk (NB.),842,11016
Sint-Michielsgestel,845,10496
Standdaarbuiten,850,11212
Terheijden,853,10905
Teteringen,854,10677
Tilburg,855,10792
Udenhout,857,11268
Woudrichem,874,10282
Veen,859,10015
"Vessem, Wintelre en Knegsel",862,11414
Vlijmen,864,11293
Vught,865,11224
Waalwijk,867,11359
Waspik,869,10402
Werkendam,870,10078
Westerhoven,871,11041
Willemstad,872,10827
Woensdrecht,873,10602
Wouw,875,10808
Wijk en Aalburg,876,11084
Zevenbergen,878,10046
Zundert,879,11192
Aagtekerke,1000,10531
Aarlanderveen,1002,11242
Abcoude-Baambrugge,1003,11184
Abcoude-Proosdij,1004,10712
Achttienhoven (U.),1005,10524
"Alem, Maren en Kessel",1007,10495
Alphen,1008,10517
Biggekerke,1022,11364
Bokhoven,1023,11083
Zegwaart,1234,10185
Broek,1030,11214
Ankeveen,1014,10936
Baardwijk,1015,10006
Barwoutswaarder,1017,10447
Bath,1018,10623
Besoijen,1020,10056
Den Bommel,1024,10293
Boschkapelle,1027,10605
Breukelen-Nijenrode,1028,10807
Breukelen-Sint Pieters,1029,11149
Burgh,1035,11000
Capelle,1036,11233
Charlois,1037,10430
Colijnsplaat,1038,10121
Cromvoirt,1039,10053
Delfshaven,1040,10908
Herpt,1080,10845
Dreischor,1047,10885
Driebergen,1048,10777
Duivendijke,1050,10335
Duizel en Steensel,1051,11005
Eede,1052,11128
Elkerzee,1053,10184
Ellemeet,1054,10102
Emmikhoven,1056,10621
Gameren,1058,10037
Giessen-Nieuwkerk,1062,10255
Giessendam,1063,10606
Ginneken en Bavel,1064,10406
Groote Lindt,1066,11042
Grijpskerke,1067,10801
Haamstede,1068,10701
Haarzuilens,1069,10737
Hardinxveld,1070,10167
Hedikhuizen,1071,11130
Heille,1073,11309
Hekelingen,1074,10873
Hekendorp,1075,10217
Hengstdijk,1077,10636
Herkingen,1078,10267
Hillegersberg,1081,10227
Hof van Delft,1082,10089
Hoogvliet,1085,10348
Hurwenen,1089,11432
Jaarsveld,1091,10847
Katendrecht,1093,11401
Kats,1094,10919
Kerkwerve,1095,10837
Kethel en Spaland,1096,10551
Kortenhoef,1097,10467
Koudekerke,1098,11428
Kralingen,1099,11367
Laag-Nieuwkoop,1100,10305
Lange Ruige Weide,1101,10900
Loenersloot,1105,10208
Loosduinen,1107,10997
Maarsseveen,1108,10874
Meliskerke,1112,11221
Melissant,1113,10918
Nederhemert,1115,10310
Nieuw- en Sint Joosland,1117,11340
Nieuw-Helvoet,1118,10264
Nieuwe Tonge,1119,10502
Nieuwenhoorn,1121,10338
Nieuwerkerk,1122,10911
Nieuwkuijk,1123,11278
Noord-Waddinxveen,1125,11342
Noordgouwe,1128,11107
Noordwelle,1129,10055
Odijk,1131,11003
Oerle,1132,10119
Ooltgensplaat,1133,11163
Oost- en West-Barendrecht,1134,10943
Oost- en West-Souburg,1135,11396
Oosterland,1136,11237
Oostkapelle,1137,10720
Ossenisse,1138,10841
Ouddorp,1142,11126
Oude-Tonge,1143,10714
Oudenrijn,1144,10114
Oudheusden,1145,10812
Oudshoorn,1147,11011
Ouwerkerk,1148,10968
Overschie,1149,10683
Papekop,1151,11244
