naam,uri_naam,uri_amco,amco,cbs_code,geonames,startjaar,eindjaar,provincie
Dieren,http://www.gemeentegeschiedenis.nl/gemeentenaam/Dieren,http://www.gemeentegeschiedenis.nl/amco/11355,11355,,0,oudsher,1818,Gelderland
Dinxperlo,http://www.gemeentegeschiedenis.nl/gemeentenaam/Dinxperlo,http://www.gemeentegeschiedenis.nl/amco/11154,11154,219,0,oudsher,2005,Gelderland
Dodewaard,http://www.gemeentegeschiedenis.nl/gemeentenaam/Dodewaard,http://www.gemeentegeschiedenis.nl/amco/10647,10647,220,0,1818,2002,Gelderland
Doesburg,http://www.gemeentegeschiedenis.nl/gemeentenaam/Doesburg,http://www.gemeentegeschiedenis.nl/amco/10327,10327,221,2756770,oudsher,heden,Gelderland
Doetinchem,http://www.gemeentegeschiedenis.nl/gemeentenaam/Doetinchem,http://www.gemeentegeschiedenis.nl/amco/10396,10396,222,2756766,1920,heden,Gelderland
Doornspijk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Doornspijk,http://www.gemeentegeschiedenis.nl/amco/10069,10069,223,0,oudsher,1974,Gelderland
Doorwerth,http://www.gemeentegeschiedenis.nl/gemeentenaam/Doorwerth,http://www.gemeentegeschiedenis.nl/amco/11304,11304,1046,0,1818,1923,Gelderland
Dorth,http://www.gemeentegeschiedenis.nl/gemeentenaam/Dorth,http://www.gemeentegeschiedenis.nl/amco/10061,10061,1313,0,1818,1831,Gelderland
Dreumel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Dreumel,http://www.gemeentegeschiedenis.nl/amco/11232,11232,224,0,oudsher,1984,Gelderland
Driel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Driel,http://www.gemeentegeschiedenis.nl/amco/10341,10341,1248,0,oudsher,1944,Gelderland
Druten,http://www.gemeentegeschiedenis.nl/gemeentenaam/Druten,http://www.gemeentegeschiedenis.nl/amco/10068,10068,225,2756538,oudsher,heden,Gelderland
Duiven,http://www.gemeentegeschiedenis.nl/gemeentenaam/Duiven,http://www.gemeentegeschiedenis.nl/amco/11028,11028,226,2756506,1813,heden,Gelderland
Echteld,http://www.gemeentegeschiedenis.nl/gemeentenaam/Echteld,http://www.gemeentegeschiedenis.nl/amco/10832,10832,227,0,1818,2002,Gelderland
Ede,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ede,http://www.gemeentegeschiedenis.nl/amco/10743,10743,228,2756428,oudsher,heden,Gelderland
Eibergen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Eibergen,http://www.gemeentegeschiedenis.nl/amco/10436,10436,229,0,oudsher,2005,Gelderland
Elburg,http://www.gemeentegeschiedenis.nl/gemeentenaam/Elburg,http://www.gemeentegeschiedenis.nl/amco/11113,11113,230,2756231,oudsher,heden,Gelderland
Elden,http://www.gemeentegeschiedenis.nl/gemeentenaam/Elden,http://www.gemeentegeschiedenis.nl/amco/11082,11082,,0,1813,1818,Gelderland
Elst,http://www.gemeentegeschiedenis.nl/gemeentenaam/Elst,http://www.gemeentegeschiedenis.nl/amco/11188,11188,231,0,oudsher,2001,Gelderland
Elten,http://www.gemeentegeschiedenis.nl/gemeentenaam/Elten,http://www.gemeentegeschiedenis.nl/amco/10161,10161,1055,0,1949,1963,Gelderland
Epe,http://www.gemeentegeschiedenis.nl/gemeentenaam/Epe,http://www.gemeentegeschiedenis.nl/amco/10940,10940,232,2756058,oudsher,heden,Gelderland
Ermelo,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ermelo,http://www.gemeentegeschiedenis.nl/amco/10732,10732,233,2756038,oudsher,heden,Gelderland
Est en Opijnen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Est_en_Opijnen,http://www.gemeentegeschiedenis.nl/amco/11092,11092,234,0,1818,1978,Gelderland
Etten [Ge],http://www.gemeentegeschiedenis.nl/gemeentenaam/Etten_Ge,http://www.gemeentegeschiedenis.nl/amco/10107,10107,,0,oudsher,1818,Gelderland
Ewijk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ewijk,http://www.gemeentegeschiedenis.nl/amco/10471,10471,235,0,oudsher,1980,Gelderland
Gameren,http://www.gemeentegeschiedenis.nl/gemeentenaam/Gameren,http://www.gemeentegeschiedenis.nl/amco/10037,10037,1058,0,oudsher,1955,Gelderland
Garderen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Garderen,http://www.gemeentegeschiedenis.nl/amco/10717,10717,,0,oudsher,1818,Gelderland
Geesteren,http://www.gemeentegeschiedenis.nl/gemeentenaam/Geesteren,http://www.gemeentegeschiedenis.nl/amco/10756,10756,,0,oudsher,1818,Gelderland
Geldermalsen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Geldermalsen,http://www.gemeentegeschiedenis.nl/amco/10881,10881,236,2755632,oudsher,heden,Gelderland
Gendringen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Gendringen,http://www.gemeentegeschiedenis.nl/amco/10260,10260,237,0,oudsher,2005,Gelderland
