gm_naam,cbscode,acode
Dinther,1044,10690
Dommelen,1045,10424
Doorwerth,1046,11304
Escharen,1057,10299
Gassel,1059,10705
Gestel en Blaarthem,1061,11269
Heeswijk,1072,11229
Hemmen,1076,11162
Herpen,1079,11262
Houthem,1086,11111
Huisseling en Neerloon,1088,10049
Ittervoort,1090,10190
Mesch,1114,11070
Lierop,1102,11279
Linden,1103,11305
Lithoijen,1104,10024
Lonneker,1106,11045
Maashees en Overloon,1109,10532
Maasniel,1110,11261
Neeritter,1116,11001
Nunhem,1130,10736
Oud-Valkenburg,1140,10868
Oud-Vroenhoven,1141,11348
Oijen en Teeffelen,1150,10869
Reek,1158,10671
Rimburg,1162,10020
