naam,uri_naam,uri_amco,amco,cbs_code,geonames,startjaar,eindjaar,provincie
IJsselham,http://www.gemeentegeschiedenis.nl/gemeentenaam/IJsselham,http://www.gemeentegeschiedenis.nl/amco/10858,10858,195,0,1973,2001,Overijssel
IJsselmuiden,http://www.gemeentegeschiedenis.nl/gemeentenaam/IJsselmuiden,http://www.gemeentegeschiedenis.nl/amco/10641,10641,191,0,oudsher,2001,Overijssel
Kampen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Kampen,http://www.gemeentegeschiedenis.nl/amco/10253,10253,166,2753104,oudsher,heden,Overijssel
Kamperveen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Kamperveen,http://www.gemeentegeschiedenis.nl/amco/10443,10443,1092,0,oudsher,1937,Overijssel
Kuinre,http://www.gemeentegeschiedenis.nl/gemeentenaam/Kuinre,http://www.gemeentegeschiedenis.nl/amco/11148,11148,167,0,oudsher,1973,Overijssel
Lonneker,http://www.gemeentegeschiedenis.nl/gemeentenaam/Lonneker,http://www.gemeentegeschiedenis.nl/amco/11045,11045,1106,0,oudsher,1934,Overijssel
Losser,http://www.gemeentegeschiedenis.nl/gemeentenaam/Losser,http://www.gemeentegeschiedenis.nl/amco/11166,11166,168,2751423,oudsher,heden,Overijssel
Markelo,http://www.gemeentegeschiedenis.nl/gemeentenaam/Markelo,http://www.gemeentegeschiedenis.nl/amco/11382,11382,169,0,1818,2001,Overijssel
Nieuwleusen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuwleusen,http://www.gemeentegeschiedenis.nl/amco/10384,10384,170,0,1818,2001,Overijssel
Oldemarkt,http://www.gemeentegeschiedenis.nl/gemeentenaam/Oldemarkt,http://www.gemeentegeschiedenis.nl/amco/10858,10858,172,0,oudsher,1973,Overijssel
Oldenzaal,http://www.gemeentegeschiedenis.nl/gemeentenaam/Oldenzaal,http://www.gemeentegeschiedenis.nl/amco/11100,11100,173,2749643,oudsher,heden,Overijssel
Olst,http://www.gemeentegeschiedenis.nl/gemeentenaam/Olst,http://www.gemeentegeschiedenis.nl/amco/10409,10409,174,0,oudsher,2002,Overijssel
Olst-Wijhe,http://www.gemeentegeschiedenis.nl/gemeentenaam/Olst-Wijhe,http://www.gemeentegeschiedenis.nl/amco/10409,10409,1773,6544248,2002,heden,Overijssel
Ommen [1],http://www.gemeentegeschiedenis.nl/gemeentenaam/Ommen_1,http://www.gemeentegeschiedenis.nl/amco/11069,11069,,0,oudsher,1818,Overijssel
Ommen [2],http://www.gemeentegeschiedenis.nl/gemeentenaam/Ommen_2,http://www.gemeentegeschiedenis.nl/amco/11069,11069,175,2749611,1923,heden,Overijssel
Ootmarsum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ootmarsum,http://www.gemeentegeschiedenis.nl/amco/11079,11079,176,0,oudsher,2001,Overijssel
Raalte,http://www.gemeentegeschiedenis.nl/gemeentenaam/Raalte,http://www.gemeentegeschiedenis.nl/amco/10279,10279,177,2748370,oudsher,heden,Overijssel
Rijssen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Rijssen,http://www.gemeentegeschiedenis.nl/amco/10358,10358,178,0,oudsher,2003,Overijssel
