naam,uri_naam,uri_amco,amco,cbs_code,geonames,startjaar,eindjaar,provincie
IJsselstein,http://www.gemeentegeschiedenis.nl/gemeentenaam/IJsselstein,http://www.gemeentegeschiedenis.nl/amco/10152,10152,353,2753354,oudsher,heden,Utrecht
Indijk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Indijk,http://www.gemeentegeschiedenis.nl/amco/10411,10411,,0,1817,1821,Utrecht
Jaarsveld,http://www.gemeentegeschiedenis.nl/gemeentenaam/Jaarsveld,http://www.gemeentegeschiedenis.nl/amco/10847,10847,1091,0,oudsher,1943,Utrecht
Jutphaas,http://www.gemeentegeschiedenis.nl/gemeentenaam/Jutphaas,http://www.gemeentegeschiedenis.nl/amco/10374,10374,322,0,oudsher,1971,Utrecht
Kamerik [1],http://www.gemeentegeschiedenis.nl/gemeentenaam/Kamerik_1,http://www.gemeentegeschiedenis.nl/amco/10554,10554,,0,oudsher,1818,Utrecht
Kamerik [2],http://www.gemeentegeschiedenis.nl/gemeentenaam/Kamerik_2,http://www.gemeentegeschiedenis.nl/amco/10554,10554,323,0,1857,1989,Utrecht
Kamerik-Houtdijken,http://www.gemeentegeschiedenis.nl/gemeentenaam/Kamerik-Houtdijken,http://www.gemeentegeschiedenis.nl/amco/10554,10554,1335,0,1818,1857,Utrecht
Kamerik-Mijzijde,http://www.gemeentegeschiedenis.nl/gemeentenaam/Kamerik-Mijzijde,http://www.gemeentegeschiedenis.nl/amco/10555,10555,1336,0,1818,1857,Utrecht
Kockengen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Kockengen,http://www.gemeentegeschiedenis.nl/amco/10765,10765,324,0,oudsher,1989,Utrecht
Laag-Nieuwkoop,http://www.gemeentegeschiedenis.nl/gemeentenaam/Laag-Nieuwkoop,http://www.gemeentegeschiedenis.nl/amco/10305,10305,1100,0,1818,1942,Utrecht
Langbroek,http://www.gemeentegeschiedenis.nl/gemeentenaam/Langbroek,http://www.gemeentegeschiedenis.nl/amco/11413,11413,325,0,oudsher,1996,Utrecht
Lauwerecht,http://www.gemeentegeschiedenis.nl/gemeentenaam/Lauwerecht,http://www.gemeentegeschiedenis.nl/amco/10431,10431,,0,1818,1823,Utrecht
Leersum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Leersum,http://www.gemeentegeschiedenis.nl/amco/11142,11142,326,0,oudsher,2006,Utrecht
Leusden,http://www.gemeentegeschiedenis.nl/gemeentenaam/Leusden,http://www.gemeentegeschiedenis.nl/amco/10978,10978,327,2751688,oudsher,heden,Utrecht
Linschoten,http://www.gemeentegeschiedenis.nl/gemeentenaam/Linschoten,http://www.gemeentegeschiedenis.nl/amco/11324,11324,328,0,oudsher,1989,Utrecht
Loenen [1],http://www.gemeentegeschiedenis.nl/gemeentenaam/Loenen_1,http://www.gemeentegeschiedenis.nl/amco/11202,11202,,,oudsher,1817,Utrecht
Loenen [2],http://www.gemeentegeschiedenis.nl/gemeentenaam/Loenen_2,http://www.gemeentegeschiedenis.nl/amco/11202,11202,329,0,1820,heden,Utrecht
Loenen-Kronenburg,http://www.gemeentegeschiedenis.nl/gemeentenaam/Loenen-Kronenburg,http://www.gemeentegeschiedenis.nl/amco/11439,11439,,0,1817,1820,Utrecht
Loenersloot,http://www.gemeentegeschiedenis.nl/gemeentenaam/Loenersloot,http://www.gemeentegeschiedenis.nl/amco/10208,10208,1105,0,1818,1964,Utrecht
Loosdrecht,http://www.gemeentegeschiedenis.nl/gemeentenaam/Loosdrecht,http://www.gemeentegeschiedenis.nl/amco/10639,10639,330,0,oudsher,2002,Utrecht
Lopik,http://www.gemeentegeschiedenis.nl/gemeentenaam/Lopik,http://www.gemeentegeschiedenis.nl/amco/10333,10333,331,2751435,oudsher,heden,Utrecht
Maarn,http://www.gemeentegeschiedenis.nl/gemeentenaam/Maarn,http://www.gemeentegeschiedenis.nl/amco/10392,10392,332,0,1818,2006,Utrecht
Maarssen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Maarssen,http://www.gemeentegeschiedenis.nl/amco/10191,10191,333,0,oudsher,2011,Utrecht
Maarssenbroek,http://www.gemeentegeschiedenis.nl/gemeentenaam/Maarssenbroek,http://www.gemeentegeschiedenis.nl/amco/10171,10171,1342,0,1818,1857,Utrecht
Maarsseveen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Maarsseveen,http://www.gemeentegeschiedenis.nl/amco/10874,10874,1108,0,1818,1949,Utrecht
Maartensdijk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Maartensdijk,http://www.gemeentegeschiedenis.nl/amco/10691,10691,334,0,oudsher,2001,Utrecht
Mijdrecht,http://www.gemeentegeschiedenis.nl/gemeentenaam/Mijdrecht,http://www.gemeentegeschiedenis.nl/amco/11379,11379,336,0,oudsher,1989,Utrecht
Montfoort,http://www.gemeentegeschiedenis.nl/gemeentenaam/Montfoort,http://www.gemeentegeschiedenis.nl/amco/10033,10033,335,2750625,oudsher,heden,Utrecht
Nieuwegein,http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuwegein,http://www.gemeentegeschiedenis.nl/amco/10374,10374,356,2750324,1971,heden,Utrecht
Nigtevecht,http://www.gemeentegeschiedenis.nl/gemeentenaam/Nigtevecht,http://www.gemeentegeschiedenis.nl/amco/10160,10160,337,0,1818,1989,Utrecht
Noord-Polsbroek,http://www.gemeentegeschiedenis.nl/gemeentenaam/Noord-Polsbroek,http://www.gemeentegeschiedenis.nl/amco/10993,10993,1350,0,1818,1857,Utrecht
Odijk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Odijk,http://www.gemeentegeschiedenis.nl/amco/11003,11003,1131,0,1818,1964,Utrecht
Oudenrijn,http://www.gemeentegeschiedenis.nl/gemeentenaam/Oudenrijn,http://www.gemeentegeschiedenis.nl/amco/10114,10114,1144,0,1818,1954,Utrecht
Oudewater,http://www.gemeentegeschiedenis.nl/gemeentenaam/Oudewater,http://www.gemeentegeschiedenis.nl/amco/10188,10188,589,2748978,oudsher,heden,Utrecht
Oudhuizen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Oudhuizen,http://www.gemeentegeschiedenis.nl/amco/11171,11171,1357,0,1818,1857,Utrecht
Oud-Wulven,http://www.gemeentegeschiedenis.nl/gemeentenaam/Oud-Wulven,http://www.gemeentegeschiedenis.nl/amco/11356,11356,1355,0,1818,1857,Utrecht
