naam,uri_naam,uri_amco,amco,cbs_code,geonames,startjaar,eindjaar,provincie
Gorredijk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Gorredijk,http://www.gemeentegeschiedenis.nl/amco/10861,10861,,0,oudsher,1816,Friesland
Grouw,http://www.gemeentegeschiedenis.nl/gemeentenaam/Grouw,http://www.gemeentegeschiedenis.nl/amco/11409,11409,,0,oudsher,1816,Friesland
Hallum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hallum,http://www.gemeentegeschiedenis.nl/amco/11284,11284,,0,oudsher,1816,Friesland
Hardegarijp,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hardegarijp,http://www.gemeentegeschiedenis.nl/amco/11403,11403,,0,oudsher,1816,Friesland
Harlingen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Harlingen,http://www.gemeentegeschiedenis.nl/amco/10909,10909,72,2754816,oudsher,heden,Friesland
Haske,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haske,http://www.gemeentegeschiedenis.nl/amco/10687,10687,,0,oudsher,1816,Friesland
Haskerland,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haskerland,http://www.gemeentegeschiedenis.nl/amco/10022,10022,73,0,1816,1984,Friesland
Heeg,http://www.gemeentegeschiedenis.nl/gemeentenaam/Heeg,http://www.gemeentegeschiedenis.nl/amco/10975,10975,,0,oudsher,1816,Friesland
Heerenveen [1],http://www.gemeentegeschiedenis.nl/gemeentenaam/Heerenveen_1,http://www.gemeentegeschiedenis.nl/amco/10680,10680,,0,oudsher,1816,Friesland
Heerenveen [2],http://www.gemeentegeschiedenis.nl/gemeentenaam/Heerenveen_2,http://www.gemeentegeschiedenis.nl/amco/10680,10680,74,2754668,1934,heden,Friesland
Hemelumer Oldeferd,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hemelumer_Oldeferd,http://www.gemeentegeschiedenis.nl/amco/10334,10334,75,0,1956,1984,Friesland
Hemelumer Oldephaert en Noordwolde,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hemelumer_Oldephaert_en_Noordwolde,http://www.gemeentegeschiedenis.nl/amco/10334,10334,1260,0,1816,1956,Friesland
Hennaarderadeel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hennaarderadeel,http://www.gemeentegeschiedenis.nl/amco/10877,10877,76,0,1816,1984,Friesland
Hindeloopen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hindeloopen,http://www.gemeentegeschiedenis.nl/amco/10672,10672,77,0,oudsher,1984,Friesland
Holwerd,http://www.gemeentegeschiedenis.nl/gemeentenaam/Holwerd,http://www.gemeentegeschiedenis.nl/amco/11172,11172,,0,oudsher,1816,Friesland
Huizum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Huizum,http://www.gemeentegeschiedenis.nl/amco/10525,10525,,0,oudsher,1816,Friesland
Idaarderadeel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Idaarderadeel,http://www.gemeentegeschiedenis.nl/amco/10815,10815,78,0,1816,1984,Friesland
IJlst,http://www.gemeentegeschiedenis.nl/gemeentenaam/IJlst,http://www.gemeentegeschiedenis.nl/amco/11062,11062,102,0,oudsher,1984,Friesland
Jelsum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Jelsum,http://www.gemeentegeschiedenis.nl/amco/10645,10645,,0,oudsher,1816,Friesland
