naam,uri_naam,uri_amco,amco,cbs_code,geonames,startjaar,eindjaar,provincie
Breda,http://www.gemeentegeschiedenis.nl/gemeentenaam/Breda,http://www.gemeentegeschiedenis.nl/amco/10154,10154,758,2758400,oudsher,heden,Noord-Brabant
Budel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Budel,http://www.gemeentegeschiedenis.nl/amco/10219,10219,759,0,oudsher,1998,Noord-Brabant
Capelle,http://www.gemeentegeschiedenis.nl/gemeentenaam/Capelle,http://www.gemeentegeschiedenis.nl/amco/11233,11233,1036,0,oudsher,1923,Noord-Brabant
Chaam,http://www.gemeentegeschiedenis.nl/gemeentenaam/Chaam,http://www.gemeentegeschiedenis.nl/amco/11433,11433,760,0,oudsher,1997,Noord-Brabant
Cranendonck,http://www.gemeentegeschiedenis.nl/gemeentenaam/Cranendonck,http://www.gemeentegeschiedenis.nl/amco/10219,10219,1706,6544288,1998,heden,Noord-Brabant
Cromvoirt,http://www.gemeentegeschiedenis.nl/gemeentenaam/Cromvoirt,http://www.gemeentegeschiedenis.nl/amco/10053,10053,1039,0,oudsher,1933,Noord-Brabant
Cuijk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Cuijk,http://www.gemeentegeschiedenis.nl/amco/10023,10023,1684,2757873,1994,heden,Noord-Brabant
Cuijk en Sint Agatha,http://www.gemeentegeschiedenis.nl/gemeentenaam/Cuijk_en_Sint_Agatha,http://www.gemeentegeschiedenis.nl/amco/10023,10023,761,0,oudsher,1994,Noord-Brabant
Deurne,http://www.gemeentegeschiedenis.nl/gemeentenaam/Deurne,http://www.gemeentegeschiedenis.nl/amco/10379,10379,762,2757008,1926,heden,Noord-Brabant
Deurne en Liessel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Deurne_en_Liessel,http://www.gemeentegeschiedenis.nl/amco/10379,10379,1041,0,oudsher,1926,Noord-Brabant
Deursen en Dennenburg,http://www.gemeentegeschiedenis.nl/gemeentenaam/Deursen_en_Dennenburg,http://www.gemeentegeschiedenis.nl/amco/10209,10209,1042,0,oudsher,1923,Noord-Brabant
"Dieden, Demen en Langel",http://www.gemeentegeschiedenis.nl/gemeentenaam/Dieden__Demen_en_Langel,http://www.gemeentegeschiedenis.nl/amco/11138,11138,1043,0,oudsher,1923,Noord-Brabant
Diessen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Diessen,http://www.gemeentegeschiedenis.nl/amco/11185,11185,763,0,oudsher,1997,Noord-Brabant
Dinteloord en Prinsenland,http://www.gemeentegeschiedenis.nl/gemeentenaam/Dinteloord_en_Prinsenland,http://www.gemeentegeschiedenis.nl/amco/11193,11193,764,0,oudsher,1997,Noord-Brabant
Dinther,http://www.gemeentegeschiedenis.nl/gemeentenaam/Dinther,http://www.gemeentegeschiedenis.nl/amco/10690,10690,1044,0,oudsher,1969,Noord-Brabant
Dommelen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Dommelen,http://www.gemeentegeschiedenis.nl/amco/10424,10424,1045,0,oudsher,1934,Noord-Brabant
Dongen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Dongen,http://www.gemeentegeschiedenis.nl/amco/11412,11412,766,2756722,oudsher,heden,Noord-Brabant
Drimmelen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Drimmelen,http://www.gemeentegeschiedenis.nl/amco/10258,10258,1719,0,1998,heden,Noord-Brabant
Drongelen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Drongelen,http://www.gemeentegeschiedenis.nl/amco/10111,10111,1049,0,1908,1923,Noord-Brabant
"Drongelen, Haagoort, Gansoijen en Doeveren",http://www.gemeentegeschiedenis.nl/gemeentenaam/Drongelen__Haagoort__Gansoijen_en_Doeveren,http://www.gemeentegeschiedenis.nl/amco/10111,10111,1263,0,oudsher,1908,Noord-Brabant
Drunen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Drunen,http://www.gemeentegeschiedenis.nl/amco/10428,10428,767,0,oudsher,1997,Noord-Brabant
Duizel en Steensel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Duizel_en_Steensel,http://www.gemeentegeschiedenis.nl/amco/11005,11005,1051,0,oudsher,1923,Noord-Brabant
Den Dungen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Den_Dungen,http://www.gemeentegeschiedenis.nl/amco/10491,10491,768,0,oudsher,1996,Noord-Brabant
Dussen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Dussen,http://www.gemeentegeschiedenis.nl/amco/10261,10261,769,0,1908,1997,Noord-Brabant
"Dussen, Munster en Muilkerk",http://www.gemeentegeschiedenis.nl/gemeentenaam/Dussen__Munster_en_Muilkerk,http://www.gemeentegeschiedenis.nl/amco/10261,10261,1265,0,oudsher,1908,Noord-Brabant
Eersel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Eersel,http://www.gemeentegeschiedenis.nl/amco/10741,10741,770,2756341,oudsher,heden,Noord-Brabant
Eethen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Eethen,http://www.gemeentegeschiedenis.nl/amco/10010,10010,771,0,1923,1973,Noord-Brabant
"Eethen, Genderen en Heesbeen",http://www.gemeentegeschiedenis.nl/gemeentenaam/Eethen__Genderen_en_Heesbeen,http://www.gemeentegeschiedenis.nl/amco/10010,10010,,0,oudsher,1819,Noord-Brabant
Eindhoven,http://www.gemeentegeschiedenis.nl/gemeentenaam/Eindhoven,http://www.gemeentegeschiedenis.nl/amco/11298,11298,772,2756252,oudsher,heden,Noord-Brabant
Emmikhoven,http://www.gemeentegeschiedenis.nl/gemeentenaam/Emmikhoven,http://www.gemeentegeschiedenis.nl/amco/10621,10621,1056,0,oudsher,1879,Noord-Brabant
Empel en Meerwijk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Empel_en_Meerwijk,http://www.gemeentegeschiedenis.nl/amco/10295,10295,773,0,oudsher,1971,Noord-Brabant
Engelen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Engelen,http://www.gemeentegeschiedenis.nl/amco/10322,10322,774,0,1821,1971,Noord-Brabant
Erp,http://www.gemeentegeschiedenis.nl/gemeentenaam/Erp,http://www.gemeentegeschiedenis.nl/amco/10385,10385,775,0,oudsher,1994,Noord-Brabant
Esch,http://www.gemeentegeschiedenis.nl/gemeentenaam/Esch,http://www.gemeentegeschiedenis.nl/amco/10709,10709,776,0,oudsher,1996,Noord-Brabant
Escharen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Escharen,http://www.gemeentegeschiedenis.nl/amco/10299,10299,1057,0,oudsher,1942,Noord-Brabant
Etten en Leur,http://www.gemeentegeschiedenis.nl/gemeentenaam/Etten_en_Leur,http://www.gemeentegeschiedenis.nl/amco/10750,10750,1251,0,oudsher,1968,Noord-Brabant
Etten-Leur,http://www.gemeentegeschiedenis.nl/gemeentenaam/Etten-Leur,http://www.gemeentegeschiedenis.nl/amco/10750,10750,777,2755994,1968,heden,Noord-Brabant
Fijnaart en Heijningen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Fijnaart_en_Heijningen,http://www.gemeentegeschiedenis.nl/amco/10206,10206,778,0,oudsher,1997,Noord-Brabant
Gassel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Gassel,http://www.gemeentegeschiedenis.nl/amco/10705,10705,1059,0,oudsher,1942,Noord-Brabant
Gastel [bij Budel],http://www.gemeentegeschiedenis.nl/gemeentenaam/Gastel_bij_Budel,http://www.gemeentegeschiedenis.nl/amco/11448,11448,,0,oudsher,1821,Noord-Brabant
Geertruidenberg,http://www.gemeentegeschiedenis.nl/gemeentenaam/Geertruidenberg,http://www.gemeentegeschiedenis.nl/amco/10101,10101,779,2755668,oudsher,heden,Noord-Brabant
Geffen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Geffen,http://www.gemeentegeschiedenis.nl/amco/10370,10370,780,0,oudsher,1993,Noord-Brabant
Geldrop,http://www.gemeentegeschiedenis.nl/gemeentenaam/Geldrop,http://www.gemeentegeschiedenis.nl/amco/10529,10529,781,0,oudsher,2004,Noord-Brabant
Geldrop-Mierlo,http://www.gemeentegeschiedenis.nl/gemeentenaam/Geldrop-Mierlo,http://www.gemeentegeschiedenis.nl/amco/10529,10529,1771,6544232,2004,heden,Noord-Brabant
Gemert,http://www.gemeentegeschiedenis.nl/gemeentenaam/Gemert,http://www.gemeentegeschiedenis.nl/amco/10277,10277,782,0,oudsher,1997,Noord-Brabant
Gemert-Bakel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Gemert-Bakel,http://www.gemeentegeschiedenis.nl/amco/10277,10277,1652,6544279,1997,heden,Noord-Brabant
Genderen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Genderen,http://www.gemeentegeschiedenis.nl/amco/10010,10010,1060,0,1908,1923,Noord-Brabant
Gestel en Blaarthem,http://www.gemeentegeschiedenis.nl/gemeentenaam/Gestel_en_Blaarthem,http://www.gemeentegeschiedenis.nl/amco/11269,11269,1061,0,oudsher,1920,Noord-Brabant
Giessen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Giessen,http://www.gemeentegeschiedenis.nl/amco/10193,10193,783,0,oudsher,1973,Noord-Brabant
Gilze en Rijen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Gilze_en_Rijen,http://www.gemeentegeschiedenis.nl/amco/11375,11375,784,2755506,oudsher,heden,Noord-Brabant
Ginneken en Bavel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ginneken_en_Bavel,http://www.gemeentegeschiedenis.nl/amco/10406,10406,1064,0,oudsher,1942,Noord-Brabant
Goirle,http://www.gemeentegeschiedenis.nl/gemeentenaam/Goirle,http://www.gemeentegeschiedenis.nl/amco/10971,10971,785,2755463,oudsher,heden,Noord-Brabant
Grave,http://www.gemeentegeschiedenis.nl/gemeentenaam/Grave,http://www.gemeentegeschiedenis.nl/amco/10165,10165,786,2755357,oudsher,heden,Noord-Brabant
's-Gravenmoer,http://www.gemeentegeschiedenis.nl/gemeentenaam/s-Gravenmoer,http://www.gemeentegeschiedenis.nl/amco/10469,10469,787,0,oudsher,1997,Noord-Brabant
Haage,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haage,http://www.gemeentegeschiedenis.nl/amco/10762,10762,,0,oudsher,1819,Noord-Brabant
Haaren,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haaren,http://www.gemeentegeschiedenis.nl/amco/11155,11155,788,2755008,oudsher,heden,Noord-Brabant
Halderberge,http://www.gemeentegeschiedenis.nl/gemeentenaam/Halderberge,http://www.gemeentegeschiedenis.nl/amco/10397,10397,1655,6544271,1997,heden,Noord-Brabant
Halsteren,http://www.gemeentegeschiedenis.nl/gemeentenaam/Halsteren,http://www.gemeentegeschiedenis.nl/amco/10387,10387,789,0,oudsher,1997,Noord-Brabant
Haps,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haps,http://www.gemeentegeschiedenis.nl/amco/11283,11283,790,0,oudsher,1994,Noord-Brabant
Haren en Macharen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haren_en_Macharen,http://www.gemeentegeschiedenis.nl/amco/10044,10044,,0,oudsher,1821,Noord-Brabant
Hedikhuizen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hedikhuizen,http://www.gemeentegeschiedenis.nl/amco/11130,11130,1071,0,oudsher,1935,Noord-Brabant
"Heesbeen, Eethen en Genderen",http://www.gemeentegeschiedenis.nl/gemeentenaam/Heesbeen__Eethen_en_Genderen,http://www.gemeentegeschiedenis.nl/amco/10010,10010,1255,0,1819,1908,Noord-Brabant
Heesch,http://www.gemeentegeschiedenis.nl/gemeentenaam/Heesch,http://www.gemeentegeschiedenis.nl/amco/10149,10149,791,0,oudsher,1995,Noord-Brabant
Heeswijk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Heeswijk,http://www.gemeentegeschiedenis.nl/amco/11229,11229,1072,0,oudsher,1969,Noord-Brabant
Heeswijk-Dinther,http://www.gemeentegeschiedenis.nl/gemeentenaam/Heeswijk-Dinther,http://www.gemeentegeschiedenis.nl/amco/10690,10690,792,0,1969,1994,Noord-Brabant
Heeze,http://www.gemeentegeschiedenis.nl/gemeentenaam/Heeze,http://www.gemeentegeschiedenis.nl/amco/10462,10462,793,0,oudsher,1997,Noord-Brabant
Heeze-Leende,http://www.gemeentegeschiedenis.nl/gemeentenaam/Heeze-Leende,http://www.gemeentegeschiedenis.nl/amco/10462,10462,1658,6544277,1997,heden,Noord-Brabant
Helmond,http://www.gemeentegeschiedenis.nl/gemeentenaam/Helmond,http://www.gemeentegeschiedenis.nl/amco/10932,10932,794,2754446,oudsher,heden,Noord-Brabant
Helvoirt,http://www.gemeentegeschiedenis.nl/gemeentenaam/Helvoirt,http://www.gemeentegeschiedenis.nl/amco/10389,10389,795,0,oudsher,1996,Noord-Brabant
Herpen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Herpen,http://www.gemeentegeschiedenis.nl/amco/11262,11262,1079,0,oudsher,1941,Noord-Brabant
Herpt,http://www.gemeentegeschiedenis.nl/gemeentenaam/Herpt,http://www.gemeentegeschiedenis.nl/amco/10845,10845,1080,0,oudsher,1935,Noord-Brabant
's-Hertogenbosch,http://www.gemeentegeschiedenis.nl/gemeentenaam/s-Hertogenbosch,http://www.gemeentegeschiedenis.nl/amco/10054,10054,796,0,oudsher,heden,Noord-Brabant
Heusden,http://www.gemeentegeschiedenis.nl/gemeentenaam/Heusden,http://www.gemeentegeschiedenis.nl/amco/10307,10307,797,2754134,oudsher,heden,Noord-Brabant
Hilvarenbeek,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hilvarenbeek,http://www.gemeentegeschiedenis.nl/amco/11297,11297,798,2754065,oudsher,heden,Noord-Brabant
Hoeven,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hoeven,http://www.gemeentegeschiedenis.nl/amco/10065,10065,799,0,oudsher,1997,Noord-Brabant
Hooge en Lage Mierde,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hooge_en_Lage_Mierde,http://www.gemeentegeschiedenis.nl/amco/10476,10476,801,0,oudsher,1997,Noord-Brabant
Hooge en Lage Zwaluwe,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hooge_en_Lage_Zwaluwe,http://www.gemeentegeschiedenis.nl/amco/11318,11318,802,0,oudsher,1997,Noord-Brabant
"Hoogeloon, Hapert en Casteren",http://www.gemeentegeschiedenis.nl/gemeentenaam/Hoogeloon__Hapert_en_Casteren,http://www.gemeentegeschiedenis.nl/amco/10657,10657,800,0,oudsher,1997,Noord-Brabant
